"date","gdp_billions_dolar","gdp_per_capita_dolar","annual_gdp_percent_change","country","healthcare_per_capita_dolar","healthcare_per_cent_gdp","population","annual_percent_change","life_expectancy_birth_years","annual_change","obs"
"2000-12-31",197.2896255,24625.6007,3.3757,"austria",2269.1265,9.2037,8010428,0.24,78.086,0.36,20
"2001-12-31",197.5087732,24558.7637,1.2672,"austria",2282.5159,9.2694,8039626,0.36,78.364,0.36,20
"2002-12-31",214.3948667,26527.5931,1.6516,"austria",2497.866,9.3948,8078992,0.49,78.642,0.35,20
"2003-12-31",262.2736312,32294.0489,0.9415,"austria",3091.2402,9.5472,8120104,0.51,78.92,0.35,20
"2004-12-31",301.457562,36889.2335,2.7351,"austria",3594.6504,9.7094,8171217,0.63,79.162,0.31,20
"2005-12-31",316.0922733,38417.4578,2.2441,"austria",3710.3979,9.627,8227034,0.68,79.404,0.31,20
"2006-12-31",336.2800643,40669.327,3.454,"austria",3882.9819,9.5311,8267763,0.5,79.646,0.3,20
"2007-12-31",389.1855715,46915.3374,3.7274,"austria",4478.7686,9.5321,8294722,0.33,79.888,0.3,20
"2008-12-31",432.0519356,51919.9836,1.4604,"austria",5057.7607,9.7256,8321131,0.32,80.13,0.3,20
"2009-12-31",401.7587358,48153.324,-3.7646,"austria",4928.9878,10.2258,8342935,0.26,80.302,0.21,20
"2010-12-31",392.2751073,46903.7616,1.8371,"austria",4800.7935,10.221,8362829,0.24,80.474,0.21,20
"2011-12-31",431.6852174,51442.2762,2.9228,"austria",5167.8179,10.0261,8391200,0.34,80.646,0.21,20
"2012-12-31",409.4018161,48564.9173,0.6804,"austria",4966.0957,10.1992,8429637,0.46,80.818,0.21,20
"2013-12-31",430.1909797,50731.1273,0.0255,"austria",5235.3413,10.2857,8479539,0.59,80.99,0.21,20
"2014-12-31",442.5848153,51786.3772,0.6613,"austria",5393.6021,10.3681,8546066,0.78,81.062,0.09,20
"2015-12-31",381.9711485,44195.8176,1.0145,"austria",4612.8242,10.3675,8642421,1.13,81.134,0.09,20
"2016-12-31",395.837353,45307.5879,1.9894,"austria",4709.876,10.3523,8736487,1.09,81.206,0.09,20
"2017-12-31",417.2611518,47429.1585,2.2586,"austria",4938.9199,10.3846,8797496,0.7,81.278,0.09,20
"2018-12-31",455.1681519,51486.5755,2.5016,"austria",5322.2627,10.3175,8840513,0.49,81.35,0.09,20
"2019-12-31",445.0118727,50114.4011,1.4912,"austria",5242.1831,10.434,8879940,0.45,81.49,0.17,20
"2000-12-31",12.73685683,1276.288,5.8,"belarus",57.6682,5.2761,10256483,-0.5,67.596,0.12,20
"2001-12-31",12.35482014,1244.3732,4.7253,"belarus",74.3364,5.7083,10201209,-0.54,67.674,0.12,20
"2002-12-31",14.59424902,1479.3146,5.0453,"belarus",87.084,5.6233,10135388,-0.65,67.752,0.12,20
"2003-12-31",17.82779132,1819.7661,7.0432,"belarus",109.8769,5.7698,10065878,-0.69,67.83,0.12,20
"2004-12-31",23.14435185,2378.6233,11.4497,"belarus",142.748,5.7371,9999712,-0.66,68.116,0.42,20
"2005-12-31",30.20756732,3125.8105,9.4,"belarus",198.3074,6.0704,9935163,-0.65,68.402,0.42,20
"2006-12-31",36.95431235,3847.4341,10,"belarus",223.8312,5.5738,9874700,-0.61,68.688,0.42,20
"2007-12-31",45.27739981,4735.6576,8.6,"belarus",281.0776,5.692,9825986,-0.49,68.974,0.42,20
"2008-12-31",60.76348315,6377.3697,10.2,"belarus",351.728,5.2942,9787826,-0.39,69.26,0.41,20
"2009-12-31",50.87407805,5352.5839,0.2,"belarus",290.7015,5.3904,9757708,-0.31,69.898,0.92,20
"2010-12-31",57.22249077,6033.6862,7.7983,"belarus",343.6791,5.6569,9731427,-0.27,70.536,0.91,20
"2011-12-31",61.75778894,6527.1739,5.3787,"belarus",319.7537,4.8744,9706981,-0.25,71.174,0.9,20
"2012-12-31",65.68510255,6953.1325,1.6871,"belarus",365.8749,5.2453,9693749,-0.14,71.812,0.9,20
"2013-12-31",75.52798423,7998.1252,1.0035,"belarus",456.4917,5.6956,9691137,-0.03,72.45,0.89,20
"2014-12-31",78.81383998,8341.3997,1.7264,"belarus",450.2226,5.3879,9693739,0.03,72.858,0.56,20
"2015-12-31",56.4547344,5967.0522,-3.8296,"belarus",362.7528,6.0653,9700609,0.07,73.266,0.56,20
"2016-12-31",47.72265782,5039.6819,-2.5264,"belarus",298.6266,5.9105,9708110,0.08,73.674,0.56,20
"2017-12-31",54.72659525,5785.6707,2.5322,"belarus",333.5411,5.7597,9707876,0,74.082,0.55,20
"2018-12-31",60.03126227,6360.0625,3.1492,"belarus",351.0068,5.527,9695574,-0.13,74.49,0.55,20
"2019-12-31",64.40964719,6837.7178,1.4,"belarus",399.3971,5.8613,9673971,-0.22,74.632,0.19,20
"2000-12-31",236.7924603,23098.8865,3.7167,"belgium",1849.916,7.9992,10264343,0.39,77.786,0.26,20
"2001-12-31",236.7461416,23015.0713,1.0996,"belgium",1879.9348,8.1499,10309255,0.44,77.984,0.25,20
"2002-12-31",258.3835994,25006.1914,1.7069,"belgium",2084.72,8.3182,10355568,0.45,78.182,0.25,20
"2003-12-31",318.0825285,30655.2093,1.038,"belgium",2828.3335,9.2082,10402550,0.45,78.38,0.25,20
"2004-12-31",369.2147124,35429.4078,3.5712,"belgium",3326.6372,9.3672,10456163,0.52,78.618,0.3,20
"2005-12-31",385.7147622,36809.7013,2.3217,"belgium",3419.6931,9.2611,10516978,0.58,78.856,0.3,20
"2006-12-31",408.2598409,38705.1068,2.5523,"belgium",3558.1213,9.161,10582975,0.63,79.094,0.3,20
"2007-12-31",470.9221563,44319.1654,3.6769,"belgium",4078.147,9.1661,10653697,0.67,79.332,0.3,20
"2008-12-31",517.3280879,48303.398,0.4469,"belgium",4670.4229,9.63,10726716,0.69,79.57,0.3,20
"2009-12-31",483.2541711,44760.2912,-2.0207,"belgium",4653.4365,10.3546,10801356,0.7,79.76,0.24,20
"2010-12-31",481.4208829,44184.9464,2.8643,"belgium",4544.7798,10.2332,10877947,0.71,79.95,0.24,20
"2011-12-31",523.3303541,47410.5669,1.6945,"belgium",4943.7969,10.3921,10955743,0.72,80.14,0.24,20
"2012-12-31",496.1528799,44670.5607,0.7392,"belgium",4706.4702,10.5065,11031139,0.69,80.33,0.24,20
"2013-12-31",521.7910152,46757.9519,0.4592,"belgium",4947.7695,10.5613,11103257,0.65,80.52,0.24,20
"2014-12-31",535.3902001,47764.0715,1.5785,"belgium",5072.9507,10.5941,11176723,0.66,80.694,0.22,20
"2015-12-31",462.3355748,41008.2967,2.0415,"belgium",4291.4897,10.4307,11248303,0.64,80.868,0.22,20
"2016-12-31",476.0627574,42012.6227,1.2667,"belgium",4534.23,10.7732,11316836,0.61,81.042,0.22,20
"2017-12-31",502.7647206,44198.4824,1.6196,"belgium",4775.8125,10.7831,11384489,0.6,81.216,0.21,20
"2018-12-31",543.347368,47549.208,1.8439,"belgium",5134.4146,10.7647,11448595,0.56,81.39,0.21,20
"2019-12-31",535.3762581,46599.1113,2.1115,"belgium",4960.3936,10.656,11510568,0.54,81.546,0.19,20
"2000-12-31",13.24583384,1621.243,4.5872,"bulgaria",94.4975,5.8297,8097691,-0.79,71.462,0.35,20
"2001-12-31",14.18349796,1770.9135,3.8237,"bulgaria",119.83,6.8596,8034860,-0.78,71.708,0.34,20
"2002-12-31",16.40284641,2092.9577,5.8719,"bulgaria",148.1479,7.081,7974810,-0.75,71.954,0.34,20
"2003-12-31",21.14498355,2719.4977,5.2372,"bulgaria",195.7437,7.1999,7917739,-0.72,72.2,0.34,20
"2004-12-31",26.15789474,3389.707,6.5104,"bulgaria",233.1133,6.8909,7865316,-0.66,72.388,0.26,20
"2005-12-31",29.8692834,3899.9076,7.0563,"bulgaria",267.7414,6.8901,7815221,-0.64,72.576,0.26,20
"2006-12-31",34.37980889,4523.0508,6.8026,"bulgaria",294.1089,6.5254,7766036,-0.63,72.764,0.26,20
"2007-12-31",44.40510147,5885.1043,6.5914,"bulgaria",361.235,6.1604,7719035,-0.61,72.952,0.26,20
"2008-12-31",54.43896642,7265.7355,6.116,"bulgaria",455.5406,6.2877,7674913,-0.57,73.14,0.26,20
"2009-12-31",52.02350466,6988.2333,-3.2719,"bulgaria",459.3002,6.5958,7634735,-0.52,73.362,0.3,20
"2010-12-31",50.68206105,6853.0029,1.5418,"bulgaria",484.7523,7.138,7592273,-0.56,73.584,0.3,20
"2011-12-31",57.67824102,7849.1653,2.1012,"bulgaria",555.8642,7.1388,7543130,-0.65,73.806,0.3,20
"2012-12-31",54.30085742,7432.4788,0.7549,"bulgaria",558.6479,7.5761,7488344,-0.73,74.028,0.3,20
"2013-12-31",55.81013844,7681.9346,-0.5605,"bulgaria",547.4548,7.1677,7431167,-0.76,74.25,0.3,20
"2014-12-31",57.08201126,7901.7859,0.9669,"bulgaria",605.2589,7.7071,7372141,-0.79,74.37,0.16,20
"2015-12-31",50.78199671,7074.681,3.4281,"bulgaria",521.4191,7.4109,7309253,-0.85,74.49,0.16,20
"2016-12-31",53.95389762,7569.4788,3.0398,"bulgaria",562.3408,7.4769,7245975,-0.87,74.61,0.16,20
"2017-12-31",59.19944742,8366.2932,2.7622,"bulgaria",624.525,7.5206,7182428,-0.88,74.73,0.16,20
"2018-12-31",66.36342245,9446.7008,2.6846,"bulgaria",689.9054,7.3434,7117431,-0.9,74.85,0.16,20
"2019-12-31",68.91541614,9879.2685,4.0376,"bulgaria",697.8964,7.1261,7052532,-0.91,74.978,0.17,20
"2000-12-31",21.83978097,4887.7137,2.8955,"croatia",371.0621,7.7145,4548434,-1.24,74.718,0.1,20
"2001-12-31",23.27364026,5412.9251,3.0325,"croatia",388.3249,7.235,4506759,-0.92,74.792,0.1,20
"2002-12-31",27.07455026,6293.2253,5.7221,"croatia",386.4441,6.2051,4482868,-0.53,74.866,0.1,20
"2003-12-31",34.98574988,8129.7946,5.5259,"croatia",512.1521,6.3576,4461139,-0.48,74.94,0.1,20
"2004-12-31",41.95883354,9747.4408,4.1493,"croatia",634.6203,6.5705,4443350,-0.4,75.17,0.31,20
"2005-12-31",45.78023726,10621.5075,4.3124,"croatia",727.131,6.9079,4429681,-0.31,75.4,0.31,20
"2006-12-31",50.86078825,11797.4745,4.9384,"croatia",816.017,6.9791,4417560,-0.27,75.63,0.31,20
"2007-12-31",60.5426735,14046.3168,4.9128,"croatia",1041.0344,7.4751,4405532,-0.27,75.86,0.3,20
"2008-12-31",70.75064625,16416.5868,1.8954,"croatia",1258.8724,7.7287,4393664,-0.27,76.09,0.3,20
"2009-12-31",63.08400471,14653.0436,-7.2817,"croatia",1187.5453,8.1758,4382130,-0.26,76.362,0.36,20
"2010-12-31",60.42601863,14067.5231,-1.2507,"croatia",1126.3737,8.0887,4368682,-0.31,76.634,0.36,20
"2011-12-31",63.16991082,14757.1803,-0.0852,"croatia",1132.4989,7.7685,4351842,-0.39,76.906,0.35,20
"2012-12-31",57.19234692,13401.6566,-2.2757,"croatia",1029.9712,7.7838,4331595,-0.47,77.178,0.35,20
"2013-12-31",58.88908232,13837.7316,-0.3631,"croatia",889.9445,6.518,4308854,-0.53,77.45,0.35,20
"2014-12-31",58.33028976,13762.3729,-0.3459,"croatia",909.3716,6.7001,4283972,-0.58,77.61,0.21,20
"2015-12-31",50.16319288,11933.3774,2.5257,"croatia",795.5208,6.787,4254815,-0.68,77.77,0.21,20
"2016-12-31",52.29515834,12527.7399,3.5324,"croatia",840.905,6.8292,4223751,-0.73,77.93,0.21,20
"2017-12-31",56.21442743,13629.2896,3.4141,"croatia",902.6252,6.7584,4192467,-0.74,78.09,0.21,20
"2018-12-31",62.24787495,15227.5601,2.9,"croatia",1014.2224,6.7843,4160485,-0.76,78.25,0.2,20
"2019-12-31",62.24620634,15311.7669,3.4819,"croatia",1040.0857,6.9786,4129752,-0.74,78.404,0.2,20
"2000-12-31",164.1587391,30743.5477,3.7469,"denmark",2496.0471,8.1044,5340655,0.39,76.62,0.31,20
"2001-12-31",164.7914425,30751.6543,0.8232,"denmark",2602.6428,8.4483,5360748,0.38,76.86,0.31,20
"2002-12-31",178.6351637,33228.6935,0.4663,"denmark",2895.8074,8.7025,5378697,0.33,77.1,0.31,20
"2003-12-31",218.0960335,40458.7774,0.3901,"denmark",3607.043,8.9036,5396355,0.33,77.34,0.31,20
"2004-12-31",251.373003,46511.5983,2.6682,"denmark",4194.8735,9.0074,5415586,0.36,77.588,0.32,20
"2005-12-31",264.4673365,48799.8256,2.3366,"denmark",4442.7554,9.0906,5436313,0.38,77.836,0.32,20
