,date, Population, Annual % Change,Country
0,1950-12-31,1252582,,albania
1,1951-12-31,1289168,2.92,albania
2,1952-12-31,1326948,2.93,albania
3,1953-12-31,1366744,3.0,albania
4,1954-12-31,1409005,3.09,albania
5,1955-12-31,1453730,3.17,albania
6,1956-12-31,1500624,3.23,albania
7,1957-12-31,1549571,3.26,albania
8,1958-12-31,1600983,3.32,albania
9,1959-12-31,1655020,3.38,albania
10,1960-12-31,1711189,3.39,albania
11,1961-12-31,1769079,3.38,albania
12,1962-12-31,1828232,3.34,albania
13,1963-12-31,1888302,3.29,albania
14,1964-12-31,1949013,3.22,albania
15,1965-12-31,2009789,3.12,albania
16,1966-12-31,2070689,3.03,albania
17,1967-12-31,2132443,2.98,albania
18,1968-12-31,2195466,2.96,albania
19,1969-12-31,2259799,2.93,albania
20,1970-12-31,2324731,2.87,albania
21,1971-12-31,2389812,2.8,albania
22,1972-12-31,2455171,2.73,albania
23,1973-12-31,2520436,2.66,albania
24,1974-12-31,2585452,2.58,albania
25,1975-12-31,2650122,2.5,albania
26,1976-12-31,2713560,2.39,albania
27,1977-12-31,2774795,2.26,albania
28,1978-12-31,2833314,2.11,albania
29,1979-12-31,2888763,1.96,albania
30,1980-12-31,2941651,1.83,albania
31,1981-12-31,2992389,1.72,albania
32,1982-12-31,3041179,1.63,albania
33,1983-12-31,3087911,1.54,albania
34,1984-12-31,3131726,1.42,albania
35,1985-12-31,3171725,1.28,albania
36,1986-12-31,3207128,1.12,albania
37,1987-12-31,3237676,0.95,albania
38,1988-12-31,3263019,0.78,albania
39,1989-12-31,3282182,0.59,albania
40,1990-12-31,3295066,0.39,albania
41,1991-12-31,3302081,0.21,albania
42,1992-12-31,3303739,0.05,albania
43,1993-12-31,3300711,-0.09,albania
44,1994-12-31,3293999,-0.2,albania
45,1995-12-31,3284364,-0.29,albania
46,1996-12-31,3271331,-0.4,albania
47,1997-12-31,3253719,-0.54,albania
48,1998-12-31,3232175,-0.66,albania
49,1999-12-31,3208260,-0.74,albania
50,2000-12-31,3182021,-0.82,albania
51,2001-12-31,3153612,-0.89,albania
52,2002-12-31,3123551,-0.95,albania
53,2003-12-31,3092991,-0.98,albania
54,2004-12-31,3062622,-0.98,albania
55,2005-12-31,3032634,-0.98,albania
56,2006-12-31,3003387,-0.96,albania
57,2007-12-31,2976084,-0.91,albania
58,2008-12-31,2951689,-0.82,albania
59,2009-12-31,2930541,-0.72,albania
60,2010-12-31,2913399,-0.58,albania
61,2011-12-31,2900654,-0.44,albania
62,2012-12-31,2892193,-0.29,albania
63,2013-12-31,2887014,-0.18,albania
64,2014-12-31,2884102,-0.1,albania
65,2015-12-31,2882481,-0.06,albania
66,2016-12-31,2881063,-0.05,albania
67,2017-12-31,2879355,-0.06,albania
68,2018-12-31,2877013,-0.08,albania
69,2019-12-31,2873883,-0.11,albania
70,2020-12-31,2866849,-0.24,albania
71,2021-12-31,2854710,-0.42,albania
72,2022-12-31,2842321,-0.43,albania
73,2023-12-31,2832439,-0.35,albania
74,2024-12-31,2826020,-0.23,albania
75,2025-12-31,2821626,-0.16,albania
76,2026-12-31,2816695,-0.17,albania
77,2027-12-31,2811110,-0.2,albania
78,2028-12-31,2804771,-0.23,albania
79,2029-12-31,2797599,-0.26,albania
80,2030-12-31,2789599,-0.29,albania
81,2031-12-31,2780747,-0.32,albania
82,2032-12-31,2770957,-0.35,albania
83,2033-12-31,2760238,-0.39,albania
84,2034-12-31,2748602,-0.42,albania
85,2035-12-31,2736080,-0.46,albania
86,2036-12-31,2722651,-0.49,albania
87,2037-12-31,2708322,-0.53,albania
88,2038-12-31,2693123,-0.56,albania
89,2039-12-31,2677082,-0.6,albania
90,2040-12-31,2660261,-0.63,albania
91,2041-12-31,2642682,-0.66,albania
92,2042-12-31,2624352,-0.69,albania
93,2043-12-31,2605325,-0.73,albania
94,2044-12-31,2585680,-0.75,albania
95,2045-12-31,2565420,-0.78,albania
96,2046-12-31,2544581,-0.81,albania
97,2047-12-31,2523233,-0.84,albania
98,2048-12-31,2501416,-0.86,albania
99,2049-12-31,2479150,-0.89,albania
100,2050-12-31,2456472,-0.91,albania
101,2051-12-31,2433447,-0.94,albania
102,2052-12-31,2410095,-0.96,albania
103,2053-12-31,2386456,-0.98,albania
104,2054-12-31,2362612,-1.0,albania
105,2055-12-31,2338671,-1.01,albania
106,2056-12-31,2314636,-1.03,albania
107,2057-12-31,2290462,-1.04,albania
108,2058-12-31,2266228,-1.06,albania
109,2059-12-31,2241969,-1.07,albania
110,2060-12-31,2217671,-1.08,albania
111,2061-12-31,2193330,-1.1,albania
112,2062-12-31,2168947,-1.11,albania
113,2063-12-31,2144514,-1.13,albania
114,2064-12-31,2119999,-1.14,albania
115,2065-12-31,2095344,-1.16,albania
116,2066-12-31,2070486,-1.19,albania
117,2067-12-31,2045423,-1.21,albania
118,2068-12-31,2020143,-1.24,albania
119,2069-12-31,1994581,-1.27,albania
120,2070-12-31,1968690,-1.3,albania
121,2071-12-31,1942411,-1.33,albania
122,2072-12-31,1915726,-1.37,albania
123,2073-12-31,1888653,-1.41,albania
124,2074-12-31,1861203,-1.45,albania
125,2075-12-31,1833355,-1.5,albania
126,2076-12-31,1805098,-1.54,albania
