Macrotrends Data Download

Belgium GDP 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,11.65872259099,1273.6917
1961-12-31,12.400145221595,1350.1977,4.9784
1962-12-31,13.264015675319,1438.5232,5.212
1963-12-31,14.260017387049,1535.0237,4.3516
1964-12-31,15.960106680673,1701.8463,6.9567
1965-12-31,17.371457607937,1835.5948,3.5607
1966-12-31,18.651883472481,1957.6261,3.1559
1967-12-31,19.992040788459,2086.636,3.8681
1968-12-31,21.376353113475,2222.3615,4.1941
1969-12-31,23.710735894702,2458.0818,6.6298
1970-12-31,26.706196046793,2765.891,5.5829
1971-12-31,29.821661869912,3082.928,3.9858
1972-12-31,37.209418018513,3831.6319,5.2956
1973-12-31,47.743801490375,4900.9622,6.3817
1974-12-31,56.033077879039,5733.7981,4.5653
1975-12-31,65.678189097291,6701.3774,-1.9659
1976-12-31,71.113882967607,7243.0473,5.6527
1977-12-31,82.839905458638,8426.947,0.6262
1978-12-31,101.24652619444,10289.7684,2.8419
1979-12-31,116.31545679692,11810.6159,2.3411
1980-12-31,126.82931438819,12864.0026,4.4441
1981-12-31,104.73001847023,10622.8025,-0.2793
1982-12-31,92.095926187533,9343.8611,0.595
1983-12-31,87.184239053254,8846.2343,0.3118
1984-12-31,83.349530159173,8457.2688,2.4664
1985-12-31,86.26826414838,8750.8185,1.6518
1986-12-31,120.01878724941,12170.0407,1.8228
1987-12-31,149.39440410589,15135.8523,2.3067
1988-12-31,162.29910367526,16391.0938,4.7232
1989-12-31,164.22105651106,16525.0617,3.4692
1990-12-31,205.33174794785,20600.3753,3.1374
1991-12-31,210.51099940933,21041.6607,1.8331
1992-12-31,234.78165244667,23372.6192,1.5307
1993-12-31,224.72179570895,22283.936,-0.9619
1994-12-31,244.8841294912,24208.5548,3.227
1995-12-31,288.02558839628,28413.8264,2.3848
1996-12-31,279.20143322476,27489.5552,1.3215
1997-12-31,252.70805142084,24820.9381,3.7937
1998-12-31,258.52833963103,25338.4433,1.9618
1999-12-31,258.24573322147,25252.8019,3.5427
2000-12-31,236.79246031247,23098.8865,3.7167
2001-12-31,236.74614160437,23015.0713,1.0996
2002-12-31,258.38359937518,25006.1914,1.7069
2003-12-31,318.08252850659,30655.2093,1.038
2004-12-31,369.21471244321,35429.4078,3.5712
2005-12-31,385.71476223004,36809.7013,2.3217
2006-12-31,408.25984086882,38705.1068,2.5523
2007-12-31,470.92215630945,44319.1654,3.6769
2008-12-31,517.32808792008,48303.398,0.4469
2009-12-31,483.25417109781,44760.2912,-2.0207
2010-12-31,481.420882905,44184.9464,2.8643
2011-12-31,523.33035413813,47410.5669,1.6945
2012-12-31,496.15287992473,44670.5607,0.7392
2013-12-31,521.79101524706,46757.9519,0.4592
2014-12-31,535.39020013102,47764.0715,1.5785
2015-12-31,462.33557484148,41008.2967,2.0415
2016-12-31,476.06275735693,42012.6227,1.2667
2017-12-31,502.76472055635,44198.4824,1.6196
2018-12-31,543.34736803835,47549.208,1.8439
2019-12-31,535.37625814667,46599.1113,2.1115
2020-12-31,521.67694213463,45189.3669,-5.6807
2021-12-31,599.87902537751,51767.7886,6.2447
