Macrotrends Data Download

Estonia GDP 1995-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1995-12-31,4.5029708890637,3134.3898
1996-12-31,4.7860189881649,3380.9263,4.943
1997-12-31,5.1544206492335,3682.9523,13.05
1998-12-31,5.6740805428858,4093.3925,4.3398
1999-12-31,5.7569122657581,4140.9366,-0.425
2000-12-31,5.6865797475352,4070.609,10.0876
2001-12-31,6.2546495389849,4505.8583,6.0037
2002-12-31,7.3679758877272,5341.6289,6.7714
2003-12-31,9.8740130984643,7203.523,7.6003
2004-12-31,12.145911801242,8914.1036,6.804
2005-12-31,14.106790200224,10412.6443,9.5264
2006-12-31,17.022870405219,12639.4001,9.7656
2007-12-31,22.449129482617,16744.5845,7.5791
2008-12-31,24.341678628973,18204.9665,-5.132
2009-12-31,19.63303139761,14711.7353,-14.6291
2010-12-31,19.523477325623,14663.0446,2.4443
2011-12-31,23.213994093463,17487.8048,7.2631
2012-12-31,23.019150071187,17403.2053,3.2282
2013-12-31,25.115753366111,19056.0019,1.4584
2014-12-31,26.634083965099,20261.0667,3.0114
2015-12-31,22.890762090151,17402.0376,1.853
2016-12-31,24.072829276774,18295.3429,3.1556
2017-12-31,26.924385103066,20437.7654,5.792
2018-12-31,30.489500904856,23063.5638,4.1338
2019-12-31,31.04559175349,23397.8783,4.0963
2020-12-31,30.650285471721,23054.3585,-2.9511
2021-12-31,36.262924353604,27280.6584,8.3495
