Macrotrends Data Download

Latvia GDP 1995-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1995-12-31,5.7891286366229,2329.5767
1996-12-31,5.9752488514548,2431.709,2.588
1997-12-31,6.5279264456811,2683.2414,8.8369
1998-12-31,7.1662754676516,2973.5348,6.3359
1999-12-31,7.5337881335575,3151.577,2.7562
2000-12-31,7.958852838934,3361.6409,5.6757
2001-12-31,8.3623987015894,3578.0019,6.3283
2002-12-31,9.5570316052751,4136.9333,7.0871
2003-12-31,11.771975156807,5145.1952,8.4225
2004-12-31,14.435700533368,6378.6665,8.282
2005-12-31,17.003459863099,7594.9024,10.7152
2006-12-31,21.57007649862,9723.4469,11.9652
2007-12-31,31.054350977978,14113.5291,9.943
2008-12-31,35.854274228914,16467.1437,-3.2428
2009-12-31,26.410909090909,12331.9286,-14.2483
2010-12-31,23.956163076557,11420.994,-4.4709
2011-12-31,27.474380566265,13338.9622,2.5644
2012-12-31,28.169902669378,13847.3379,7.0373
2013-12-31,30.204783461849,15007.4919,2.0107
2014-12-31,31.386896487041,15742.3913,1.9001
2015-12-31,27.263090547062,13786.4568,3.885
2016-12-31,28.083597512484,14331.7516,2.3676
2017-12-31,30.483806017832,15695.1152,3.3131
2018-12-31,34.429023435021,17865.0311,3.9895
2019-12-31,34.308783825302,17926.8416,2.4843
2020-12-31,33.645460617239,17703.9534,-3.7691
2021-12-31,38.872546228565,20642.1679,4.4821
