Macrotrends Data Download

Netherlands GDP 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,12.276734172083,1068.7846
1961-12-31,13.493833739995,1159.3924,0.2955
1962-12-31,14.647057370142,1240.6779,6.8435
1963-12-31,15.891241386291,1328.0366,3.6246
1964-12-31,18.699380731347,1541.9474,8.2749
1965-12-31,21.000586933204,1708.0964,8.6431
1966-12-31,22.867203317402,1835.8014,2.7411
1967-12-31,25.087562181322,1991.3607,5.28
1968-12-31,27.81760574325,2185.2487,6.4161
1969-12-31,34.035946604181,2642.9561,6.4294
1970-12-31,38.164716625068,2927.0729,6.1402
1971-12-31,44.579122807018,3378.6148,4.317
1972-12-31,54.706557264488,4104.451,3.5339
1973-12-31,71.840909664197,5345.5754,5.4442
1974-12-31,87.24341339454,6440.9784,3.4387
1975-12-31,100.24952335309,7335.509,0.002
1976-12-31,109.1687206201,7925.6881,4.4563
1977-12-31,127.0169902128,9166.8082,2.5204
1978-12-31,155.85969545732,11179.3896,2.6962
1979-12-31,179.66940569043,12798.5432,2.0142
1980-12-31,195.15209266238,13791.8623,1.3419
1981-12-31,164.13421708028,11520.4479,-0.7836
1982-12-31,158.47952793596,11072.6585,-1.2408
1983-12-31,153.44546598718,10680.359,2.07
1984-12-31,143.91266414835,9977.1602,3.0617
1985-12-31,143.84582271762,9926.13,2.5802
1986-12-31,200.86209570067,13783.8501,2.787
1987-12-31,245.04631092254,16709.5597,1.9312
1988-12-31,261.91050841788,17744.5014,3.4412
1989-12-31,258.336705809,17397.6917,4.4201
1990-12-31,318.33051192061,21290.8604,4.1832
1991-12-31,327.50032767562,21732.2308,2.4391
1992-12-31,362.96287218045,23904.0374,1.7061
1993-12-31,353.55016967252,23122.4108,1.2576
1994-12-31,379.13026032207,24646.3143,2.9611
1995-12-31,452.30167444414,29258.1343,3.116
1996-12-31,450.49019607843,29006.8094,3.4987
1997-12-31,416.81274000452,26700.5371,4.3291
1998-12-31,438.00822039547,27885.8084,4.6639
1999-12-31,447.04952304981,28272.6432,5.034
2000-12-31,417.47933744471,26214.4985,4.1956
2001-12-31,431.58685236969,26896.5481,2.327
2002-12-31,473.86198007098,29343.245,0.2173
2003-12-31,580.07036070196,35750.9747,0.1556
2004-12-31,658.38008154518,40436.6182,1.9849
2005-12-31,685.34818151595,41994.7135,2.0509
2006-12-31,733.95526989882,44900.9381,3.461
2007-12-31,848.55888754118,51799.2086,3.7728
2008-12-31,951.86999786406,57879.9438,2.1703
2009-12-31,871.51863804922,52722.2131,-3.6669
2010-12-31,847.38085901667,50999.7451,1.3427
2011-12-31,905.27062633269,54230.3129,1.5512
2012-12-31,838.92331991953,50070.1416,-1.0304
2013-12-31,877.17282453451,52198.8976,-0.1302
2014-12-31,892.16798671372,52900.5374,1.4234
2015-12-31,765.57277063438,45193.4032,1.9592
2016-12-31,784.06043024008,46039.1059,2.1917
2017-12-31,833.86964168706,48675.2223,2.9109
2018-12-31,914.04343817961,53044.5324,2.3609
2019-12-31,910.19434756863,52476.2733,1.9556
2020-12-31,913.86539578989,52396.0322,-3.7986
2021-12-31,1018.0070569496,58061.0017,5.0359
