Macrotrends Data Download

Portugal GDP 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,3.193200404373,360.4993
1961-12-31,3.417516639376,382.7299,5.5349
1962-12-31,3.668222357657,407.8528,6.6144
1963-12-31,3.9057344597269,432.5117,5.8737
1964-12-31,4.235608177671,468.7811,6.3107
1965-12-31,4.6874640548346,520.9107,7.469
1966-12-31,5.1353878459711,575.0077,4.0779
1967-12-31,5.7402411656343,646.8227,7.5445
1968-12-31,6.3542626283354,719.0805,8.8755
1969-12-31,6.9690258256287,795.7594,2.1207
1970-12-31,8.1082357043236,934.0822,12.6126
1971-12-31,9.2016042402827,1064.5377,6.6317
1972-12-31,11.239117865085,1302.2663,8.0157
1973-12-31,15.090564186427,1747.989,11.2007
1974-12-31,17.512391475927,2000.4182,1.1429
1975-12-31,19.347607843137,2127.6375,-4.3476
1976-12-31,20.332831564987,2173.2839,6.9002
1977-12-31,21.439523310634,2267.371,5.6026
1978-12-31,23.487614051095,2457.3132,2.816
1979-12-31,26.622819672131,2755.6246,5.6389
1980-12-31,32.896519823789,3368.3667,4.5893
1981-12-31,31.977276872964,3245.9752,1.6181
1982-12-31,30.527754793138,3079.9496,2.1354
1983-12-31,27.239650741947,2735.4911,-0.1731
1984-12-31,25.217969049576,2522.7475,-1.88
1985-12-31,27.115807742087,2705.193,2.8074
1986-12-31,38.745901353706,3861.9484,4.141
1987-12-31,48.182925857407,4803.8661,6.3814
1988-12-31,56.347250696379,5623.697,7.4891
1989-12-31,60.594092182328,6056.381,6.4406
1990-12-31,78.713860216566,7884.618,3.9505
1991-12-31,89.233599278479,8958.9853,4.3682
1992-12-31,107.5920983071,10810.5665,1.0895
1993-12-31,95.009751901259,9534.6564,-2.0433
1994-12-31,99.688641304348,9977.3199,0.9648
1995-12-31,118.12200743001,11781.3619,4.2828
1996-12-31,122.63008968027,12185.0914,3.5042
1997-12-31,117.01653516295,11575.5071,4.4009
1998-12-31,123.9463279163,12199.2064,4.808
1999-12-31,127.47038555718,12475.2918,3.9066
2000-12-31,118.60519287739,11526.3721,3.8162
2001-12-31,121.604107165,11734.765,1.9437
2002-12-31,134.79556554942,12936.6928,0.7709
2003-12-31,165.22617553679,15797.7821,-0.9305
2004-12-31,189.38212253217,18064.1581,1.7887
2005-12-31,197.25387670492,18780.1275,0.7818
2006-12-31,208.75644927585,19839.454,1.625
2007-12-31,240.49614731738,22811.0565,2.5066
2008-12-31,263.41639462408,24949.0414,0.3192
2009-12-31,244.66776283554,23151.2154,-3.1221
2010-12-31,238.11300323328,22520.6423,1.7376
2011-12-31,245.11799024225,23217.2955,-1.6962
2012-12-31,216.22424057796,20563.7136,-4.0573
2013-12-31,226.43385800571,21653.196,-0.9226
2014-12-31,229.90196422188,22103.701,0.7922
2015-12-31,199.39406652544,19250.1065,1.792
2016-12-31,206.42615230893,19991.9725,2.0195
2017-12-31,221.35787471893,21490.4299,3.5063
2018-12-31,242.31311657797,23562.5545,2.8493
2019-12-31,239.9869226389,23330.8173,2.6828
2020-12-31,228.53924504534,22194.5661,-8.4425
2021-12-31,249.88646435475,24262.1809,4.8812
