Macrotrends Data Download

Romania GDP 1987-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1987-12-31,38.413636363636,1673.8384
1988-12-31,40.809523809524,1769.8899
1989-12-31,42.105263157895,1817.9021
1990-12-31,38.995454545454,1680.7056
1991-12-31,28.998684210526,1260.749,-12.9182
1992-12-31,25.121666666667,1102.1038,-8.7672
1993-12-31,26.362894736842,1158.1325,1.5288
1994-12-31,30.074440483384,1323.1043,3.9319
1995-12-31,37.435317265125,1650.2765,6.2335
1996-12-31,36.9370742783,1633.0106,3.9077
1997-12-31,35.574916294643,1577.3234,-4.8491
1998-12-31,41.69411897251,1852.4673,-2.0298
1999-12-31,35.952781582208,1599.8895,-0.3767
2000-12-31,37.253259016998,1659.9076,2.4613
2001-12-31,40.394824679123,1825.1798,5.2181
2002-12-31,46.066101951293,2119.8827,5.703
2003-12-31,57.806506024096,2679.4119,2.3411
2004-12-31,74.972669056592,3494.9445,10.4281
2005-12-31,98.452791982702,4617.929,4.6681
2006-12-31,122.02299750801,5757.4964,8.0288
2007-12-31,174.58520280523,8360.1663,7.2338
2008-12-31,214.31362896502,10435.044,9.3075
2009-12-31,174.10369593021,8548.1187,-5.5174
2010-12-31,166.30935523459,8214.0769,-3.9012
2011-12-31,183.32674014302,9099.2175,1.9061
2012-12-31,170.63580531688,8507.1048,2.0407
2013-12-31,190.8013461943,9547.8522,3.771
2014-12-31,199.95936343007,10043.6774,3.6087
2015-12-31,177.7292108745,8969.1489,2.9537
2016-12-31,188.1288184864,9548.5874,4.703
2017-12-31,211.69542257866,10807.0092,7.3194
2018-12-31,241.45740308504,12398.982,4.4745
2019-12-31,249.88159229807,12899.3461,4.1883
2020-12-31,249.5113336475,12956.5662,-3.7479
2021-12-31,284.0875636958,14861.9092,5.8797
