Macrotrends Data Download

Slovenia GDP 1995-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1995-12-31,21.35222401941,10730.451
1996-12-31,21.507232648725,10815.111,3.203
1997-12-31,20.763101740696,10454.9656,5.0498
1998-12-31,22.146231967686,11175.771,3.2794
1999-12-31,22.71138431114,11452.7831,5.3327
2000-12-31,20.289627636677,10201.3035,3.6724
2001-12-31,20.876309970385,10479.7596,3.2166
2002-12-31,23.489890274314,11777.1557,3.5056
2003-12-31,29.634713641097,14849.0372,2.9603
2004-12-31,34.414784504235,17233.1386,4.3592
2005-12-31,36.20639597065,18098.9085,3.798
2006-12-31,39.481045038264,19672.9656,5.7464
2007-12-31,48.067401207398,23817.8867,6.9802
2008-12-31,55.779427739661,27595.6,3.5098
2009-12-31,50.567734885961,24792.128,-7.5484
2010-12-31,48.20824022645,23532.4809,1.3437
2011-12-31,51.583869785185,25128.015,0.8613
2012-12-31,46.577793184003,22641.8051,-2.6394
2013-12-31,48.415657264876,23503.2825,-1.0293
2014-12-31,49.997186439092,24247.1733,2.7682
2015-12-31,43.107506024325,20890.1664,2.2101
2016-12-31,44.766722790583,21678.3595,3.1919
2017-12-31,48.589100043095,23514.0255,4.8154
2018-12-31,54.16359169532,26116.8564,4.4225
2019-12-31,54.178877606,25942.9548,3.2505
2020-12-31,53.58960958071,25489.5002,-4.2293
2021-12-31,61.526331889499,29200.8199,8.1146
