Macrotrends Data Download

Sweden GDP 1960-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,15.822585033576,2114.003
1961-12-31,17.212686614573,2288.9217,5.6813
1962-12-31,18.667251380075,2468.6946,4.259
1963-12-31,20.204870629744,2657.0225,5.3279
1964-12-31,22.532416750013,2941.0489,6.8212
1965-12-31,24.795499685775,3206.0992,3.8215
1966-12-31,26.971486546285,3454.4298,2.0908
1967-12-31,29.275995674689,3720.9268,3.3654
1968-12-31,31.066819929285,3926.409,3.6385
1969-12-31,33.738102482156,4234.1613,5.0091
1970-12-31,38.09245206062,4736.2172,7.2892
1971-12-31,41.566412922609,5132.7116,0.9446
1972-12-31,48.954145808836,6027.1285,2.2887
1973-12-31,59.404966684221,7301.2154,3.968
1974-12-31,66.013338964725,8089.9146,3.1982
1975-12-31,82.885397620538,10117.3067,2.5529
1976-12-31,89.362071672903,10868.2758,1.0581
1977-12-31,94.468740851482,11448.6194,-1.5963
1978-12-31,104.44235122275,12620.5186,1.7515
1979-12-31,123.38641016072,14877.1643,3.84
1980-12-31,142.09206828069,17097.8327,1.7
1981-12-31,129.68693822333,15586.4301,0.4548
1982-12-31,114.38055773088,13738.9723,1.2487
1983-12-31,105.0143566668,12608.2292,1.9006
1984-12-31,109.2013625813,13099.0208,4.2295
1985-12-31,114.12353758179,13666.8577,2.1604
1986-12-31,150.49805772362,17981.0194,2.6913
1987-12-31,183.00963835089,21792.5589,3.3538
1988-12-31,206.98667450059,24534.6938,2.559
1989-12-31,217.94831562456,25662.2206,2.6548
1990-12-31,261.84619449888,30593.6724,0.7547
1991-12-31,274.2290343117,31822.8038,-1.146
1992-12-31,284.32111559463,32800.9827,-1.1586
1993-12-31,212.95333658812,24425.2849,-2.0656
1994-12-31,229.03356661483,26083.6144,3.93
1995-12-31,267.3058752611,30282.9639,3.9352
1996-12-31,291.74381151208,32998.9682,1.5795
1997-12-31,268.14614467773,30312.4876,3.0705
1998-12-31,270.80906678071,30596.5272,4.3118
1999-12-31,274.07218241673,30941.0794,4.2472
2000-12-31,262.83545436686,29624.9127,4.7663
2001-12-31,242.39585249441,27247.8577,1.4495
2002-12-31,266.84906183566,29899.1952,2.1969
2003-12-31,334.33721232208,37321.7979,2.3098
2004-12-31,385.11804487747,42821.6731,4.3369
2005-12-31,392.21808887878,43437.0631,2.8588
2006-12-31,423.09343742376,46593.6022,4.6628
2007-12-31,491.25258921702,53700.0053,3.4392
2008-12-31,517.7061492012,56152.5523,-0.4506
2009-12-31,436.53701429355,46946.9603,-4.3398
2010-12-31,495.81255884331,52869.0443,5.9521
2011-12-31,574.09411297273,60755.7596,3.1953
2012-12-31,552.4837272828,58037.8213,-0.5883
2013-12-31,586.84182179689,61126.9432,1.1878
2014-12-31,581.96401723709,60020.3605,2.6578
2015-12-31,505.10378134976,51545.4836,4.4893
2016-12-31,515.65467146955,51965.1572,2.0706
2017-12-31,541.0187497691,53791.5087,2.5679
2018-12-31,555.45537148709,54589.0604,1.95
2019-12-31,533.87952918845,51939.4297,1.9862
2020-12-31,541.48715147456,52300.2062,-2.9442
2021-12-31,627.43789888729,60238.9866,4.8006
