Macrotrends Data Download

Belgium Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,8617344
1951-12-31,8655405,0.44
1952-12-31,8695582,0.46
1953-12-31,8740410,0.52
1954-12-31,8787229,0.54
1955-12-31,8834526,0.54
1956-12-31,8881501,0.53
1957-12-31,8931969,0.57
1958-12-31,8987674,0.62
1959-12-31,9049391,0.69
1960-12-31,9108724,0.66
1961-12-31,9168469,0.66
1962-12-31,9230329,0.67
1963-12-31,9288221,0.63
1964-12-31,9350467,0.67
1965-12-31,9412087,0.66
1966-12-31,9466115,0.57
1967-12-31,9515229,0.52
1968-12-31,9556254,0.43
1969-12-31,9592100,0.38
1970-12-31,9629376,0.39
1971-12-31,9666395,0.38
1972-12-31,9700298,0.35
1973-12-31,9727980,0.29
1974-12-31,9749065,0.22
1975-12-31,9763430,0.15
1976-12-31,9773537,0.1
1977-12-31,9786373,0.13
1978-12-31,9800206,0.14
1979-12-31,9814137,0.14
1980-12-31,9828986,0.15
1981-12-31,9843592,0.15
1982-12-31,9857343,0.14
1983-12-31,9866532,0.09
1984-12-31,9873600,0.07
1985-12-31,9880534,0.07
1986-12-31,9887815,0.07
1987-12-31,9900221,0.13
1988-12-31,9917995,0.18
1989-12-31,9937170,0.19
1990-12-31,9959560,0.23
1991-12-31,9987070,0.28
1992-12-31,10016455,0.29
1993-12-31,10043738,0.27
1994-12-31,10069182,0.25
1995-12-31,10095198,0.26
1996-12-31,10123229,0.28
1997-12-31,10154872,0.31
1998-12-31,10188538,0.33
1999-12-31,10224220,0.35
2000-12-31,10264343,0.39
2001-12-31,10309255,0.44
2002-12-31,10355568,0.45
2003-12-31,10402550,0.45
2004-12-31,10456163,0.52
2005-12-31,10516978,0.58
2006-12-31,10582975,0.63
2007-12-31,10653697,0.67
2008-12-31,10726716,0.69
2009-12-31,10801356,0.7
2010-12-31,10877947,0.71
2011-12-31,10955743,0.72
2012-12-31,11031139,0.69
2013-12-31,11103257,0.65
2014-12-31,11176723,0.66
2015-12-31,11248303,0.64
2016-12-31,11316836,0.61
2017-12-31,11384489,0.6
2018-12-31,11448595,0.56
2019-12-31,11510568,0.54
2020-12-31,11561717,0.44
2021-12-31,11611419,0.43
2022-12-31,11655930,0.38
2023-12-31,11686140,0.26
2024-12-31,11715774,0.25
2025-12-31,11744521,0.25
2026-12-31,11772171,0.24
2027-12-31,11798879,0.23
2028-12-31,11824728,0.22
2029-12-31,11849632,0.21
2030-12-31,11873460,0.2
2031-12-31,11896391,0.19
2032-12-31,11918379,0.18
2033-12-31,11939397,0.18
2034-12-31,11959522,0.17
2035-12-31,11978613,0.16
2036-12-31,11996665,0.15
2037-12-31,12013501,0.14
2038-12-31,12029156,0.13
2039-12-31,12043628,0.12
2040-12-31,12056739,0.11
2041-12-31,12068442,0.1
2042-12-31,12078530,0.08
2043-12-31,12086810,0.07
2044-12-31,12093128,0.05
2045-12-31,12097719,0.04
2046-12-31,12100428,0.02
2047-12-31,12100897,0
2048-12-31,12099277,-0.01
2049-12-31,12095849,-0.03
2050-12-31,12090657,-0.04
2051-12-31,12083920,-0.06
2052-12-31,12075909,-0.07
2053-12-31,12066592,-0.08
2054-12-31,12056240,-0.09
2055-12-31,12044981,-0.09
2056-12-31,12033091,-0.1
2057-12-31,12020829,-0.1
2058-12-31,12008237,-0.1
2059-12-31,11995460,-0.11
2060-12-31,11982621,-0.11
2061-12-31,11969796,-0.11
2062-12-31,11957414,-0.1
2063-12-31,11945556,-0.1
2064-12-31,11934059,-0.1
2065-12-31,11923188,-0.09
2066-12-31,11912763,-0.09
2067-12-31,11902621,-0.09
2068-12-31,11893028,-0.08
2069-12-31,11883807,-0.08
2070-12-31,11874625,-0.08
2071-12-31,11865409,-0.08
2072-12-31,11856105,-0.08
2073-12-31,11846665,-0.08
2074-12-31,11837079,-0.08
2075-12-31,11827278,-0.08
2076-12-31,11816974,-0.09
2077-12-31,11806220,-0.09
2078-12-31,11795194,-0.09
2079-12-31,11783643,-0.1
2080-12-31,11771441,-0.1
2081-12-31,11758828,-0.11
2082-12-31,11745820,-0.11
2083-12-31,11732295,-0.12
2084-12-31,11718396,-0.12
2085-12-31,11704191,-0.12
2086-12-31,11689731,-0.12
2087-12-31,11675486,-0.12
2088-12-31,11661661,-0.12
2089-12-31,11648225,-0.12
2090-12-31,11635172,-0.11
2091-12-31,11622403,-0.11
2092-12-31,11610033,-0.11
2093-12-31,11598317,-0.1
2094-12-31,11587043,-0.1
2095-12-31,11575677,-0.1
2096-12-31,11564549,-0.1
2097-12-31,11553785,-0.09
2098-12-31,11542992,-0.09
2099-12-31,11532135,-0.09
2100-12-31,11521156,-0.1
