Macrotrends Data Download

Estonia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1102078
1951-12-31,1116336,1.29
1952-12-31,1130244,1.25
1953-12-31,1143305,1.16
1954-12-31,1155800,1.09
1955-12-31,1168276,1.08
1956-12-31,1179950,1
1957-12-31,1190792,0.92
1958-12-31,1199866,0.76
1959-12-31,1207082,0.6
1960-12-31,1218064,0.91
1961-12-31,1233243,1.25
1962-12-31,1248160,1.21
1963-12-31,1262540,1.15
1964-12-31,1277334,1.17
1965-12-31,1292004,1.15
1966-12-31,1305808,1.07
1967-12-31,1319741,1.07
1968-12-31,1334226,1.1
1969-12-31,1348704,1.09
1970-12-31,1361999,0.99
1971-12-31,1374794,0.94
1972-12-31,1387623,0.93
1973-12-31,1399849,0.88
1974-12-31,1412117,0.88
1975-12-31,1424044,0.84
1976-12-31,1435355,0.79
1977-12-31,1447120,0.82
1978-12-31,1458851,0.81
1979-12-31,1468656,0.67
1980-12-31,1476983,0.57
1981-12-31,1485768,0.59
1982-12-31,1495374,0.65
1983-12-31,1505714,0.69
1984-12-31,1516124,0.69
1985-12-31,1525782,0.64
1986-12-31,1536023,0.67
1987-12-31,1547706,0.76
1988-12-31,1559586,0.77
1989-12-31,1568047,0.54
1990-12-31,1570674,0.17
1991-12-31,1565627,-0.32
1992-12-31,1540381,-1.61
1993-12-31,1504436,-2.33
1994-12-31,1475727,-1.91
1995-12-31,1452775,-1.56
1996-12-31,1434670,-1.25
1997-12-31,1421490,-0.92
1998-12-31,1411147,-0.73
1999-12-31,1403498,-0.54
2000-12-31,1396877,-0.47
2001-12-31,1387995,-0.64
2002-12-31,1379240,-0.63
2003-12-31,1370660,-0.62
2004-12-31,1362480,-0.6
2005-12-31,1354662,-0.57
2006-12-31,1346709,-0.59
2007-12-31,1340574,-0.46
2008-12-31,1337011,-0.27
2009-12-31,1334552,-0.18
2010-12-31,1331535,-0.23
2011-12-31,1327429,-0.31
2012-12-31,1322682,-0.36
2013-12-31,1317982,-0.36
2014-12-31,1314526,-0.26
2015-12-31,1314657,0.01
2016-12-31,1315926,0.1
2017-12-31,1317549,0.12
2018-12-31,1322148,0.35
2019-12-31,1327039,0.37
2020-12-31,1329444,0.18
2021-12-31,1328701,-0.06
2022-12-31,1326062,-0.2
2023-12-31,1322765,-0.25
2024-12-31,1319041,-0.28
2025-12-31,1314900,-0.31
2026-12-31,1310378,-0.34
2027-12-31,1305538,-0.37
2028-12-31,1300424,-0.39
2029-12-31,1295047,-0.41
2030-12-31,1289441,-0.43
2031-12-31,1283666,-0.45
2032-12-31,1277795,-0.46
2033-12-31,1271864,-0.46
2034-12-31,1265905,-0.47
2035-12-31,1259966,-0.47
2036-12-31,1254066,-0.47
2037-12-31,1248225,-0.47
2038-12-31,1242444,-0.46
2039-12-31,1236710,-0.46
2040-12-31,1230997,-0.46
2041-12-31,1225300,-0.46
2042-12-31,1219594,-0.47
2043-12-31,1213847,-0.47
2044-12-31,1208043,-0.48
2045-12-31,1202180,-0.49
2046-12-31,1196252,-0.49
2047-12-31,1190245,-0.5
2048-12-31,1184160,-0.51
2049-12-31,1177982,-0.52
2050-12-31,1171695,-0.53
2051-12-31,1165300,-0.55
2052-12-31,1158808,-0.56
2053-12-31,1152224,-0.57
2054-12-31,1145530,-0.58
2055-12-31,1138706,-0.6
2056-12-31,1131774,-0.61
2057-12-31,1124727,-0.62
2058-12-31,1117555,-0.64
2059-12-31,1110300,-0.65
2060-12-31,1102954,-0.66
2061-12-31,1095532,-0.67
2062-12-31,1088042,-0.68
2063-12-31,1080491,-0.69
2064-12-31,1072907,-0.7
2065-12-31,1065276,-0.71
2066-12-31,1057633,-0.72
2067-12-31,1050007,-0.72
2068-12-31,1042380,-0.73
2069-12-31,1034755,-0.73
2070-12-31,1027177,-0.73
2071-12-31,1019647,-0.73
2072-12-31,1012155,-0.73
2073-12-31,1004717,-0.73
2074-12-31,997322,-0.74
2075-12-31,989986,-0.74
2076-12-31,982734,-0.73
2077-12-31,975536,-0.73
2078-12-31,968407,-0.73
2079-12-31,961380,-0.73
2080-12-31,954428,-0.72
2081-12-31,947548,-0.72
2082-12-31,940777,-0.71
2083-12-31,934131,-0.71
2084-12-31,927612,-0.7
2085-12-31,921225,-0.69
2086-12-31,914959,-0.68
2087-12-31,908803,-0.67
2088-12-31,902777,-0.66
2089-12-31,896875,-0.65
2090-12-31,891067,-0.65
2091-12-31,885345,-0.64
2092-12-31,879707,-0.64
2093-12-31,874136,-0.63
2094-12-31,868610,-0.63
2095-12-31,863132,-0.63
2096-12-31,857662,-0.63
2097-12-31,852192,-0.64
2098-12-31,846717,-0.64
2099-12-31,841221,-0.65
2100-12-31,835708,-0.66
