Macrotrends Data Download

Greece Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,7669099
1951-12-31,7766344,1.27
1952-12-31,7863877,1.26
1953-12-31,7959592,1.22
1954-12-31,8052760,1.17
1955-12-31,8146022,1.16
1956-12-31,8234417,1.09
1957-12-31,8313971,0.97
1958-12-31,8385149,0.86
1959-12-31,8447073,0.74
1960-12-31,8495415,0.57
1961-12-31,8526469,0.37
1962-12-31,8540805,0.17
1963-12-31,8541792,0.01
1964-12-31,8534890,-0.08
1965-12-31,8526254,-0.1
1966-12-31,8520630,-0.07
1967-12-31,8518067,-0.03
1968-12-31,8518837,0.01
1969-12-31,8526138,0.09
1970-12-31,8544873,0.22
1971-12-31,8576109,0.37
1972-12-31,8616667,0.47
1973-12-31,8666390,0.58
1974-12-31,8729701,0.73
1975-12-31,8805415,0.87
1976-12-31,8890428,0.97
1977-12-31,8983236,1.04
1978-12-31,9084308,1.13
1979-12-31,9194178,1.21
1980-12-31,9307148,1.23
1981-12-31,9418994,1.2
1982-12-31,9528815,1.17
1983-12-31,9636353,1.13
1984-12-31,9740382,1.08
1985-12-31,9840141,1.02
1986-12-31,9936726,0.98
1987-12-31,10029141,0.93
1988-12-31,10120191,0.91
1989-12-31,10211979,0.91
1990-12-31,10302255,0.88
1991-12-31,10391547,0.87
1992-12-31,10478388,0.84
1993-12-31,10563441,0.81
1994-12-31,10647416,0.79
1995-12-31,10727927,0.76
1996-12-31,10803806,0.71
1997-12-31,10875273,0.66
1998-12-31,10939475,0.59
1999-12-31,10993862,0.5
2000-12-31,11038109,0.4
2001-12-31,11072182,0.31
2002-12-31,11096617,0.22
2003-12-31,11110487,0.12
2004-12-31,11115091,0.04
2005-12-31,11113448,-0.01
2006-12-31,11106093,-0.07
2007-12-31,11091493,-0.13
2008-12-31,11073623,-0.16
2009-12-31,11055496,-0.16
2010-12-31,11033783,-0.2
2011-12-31,11004725,-0.26
2012-12-31,10963635,-0.37
2013-12-31,10914505,-0.45
2014-12-31,10862969,-0.47
2015-12-31,10806641,-0.52
2016-12-31,10749742,-0.53
2017-12-31,10692228,-0.54
2018-12-31,10633271,-0.55
2019-12-31,10574024,-0.56
2020-12-31,10512232,-0.58
2021-12-31,10445365,-0.64
2022-12-31,10384971,-0.58
2023-12-31,10341277,-0.42
2024-12-31,10302720,-0.37
2025-12-31,10263298,-0.38
2026-12-31,10223280,-0.39
2027-12-31,10182867,-0.4
2028-12-31,10142119,-0.4
2029-12-31,10101028,-0.41
2030-12-31,10059703,-0.41
2031-12-31,10018532,-0.41
2032-12-31,9977332,-0.41
2033-12-31,9935883,-0.42
2034-12-31,9894267,-0.42
2035-12-31,9852471,-0.42
2036-12-31,9810567,-0.43
2037-12-31,9768566,-0.43
2038-12-31,9726290,-0.43
2039-12-31,9683690,-0.44
2040-12-31,9640504,-0.45
2041-12-31,9596379,-0.46
2042-12-31,9551108,-0.47
2043-12-31,9504635,-0.49
2044-12-31,9457173,-0.5
2045-12-31,9408564,-0.51
2046-12-31,9358679,-0.53
2047-12-31,9307471,-0.55
2048-12-31,9254790,-0.57
2049-12-31,9200690,-0.58
2050-12-31,9144951,-0.61
2051-12-31,9087387,-0.63
2052-12-31,9028172,-0.65
2053-12-31,8967332,-0.67
2054-12-31,8904969,-0.7
2055-12-31,8841209,-0.72
2056-12-31,8775992,-0.74
2057-12-31,8709564,-0.76
2058-12-31,8642205,-0.77
2059-12-31,8574085,-0.79
2060-12-31,8505561,-0.8
2061-12-31,8436722,-0.81
2062-12-31,8367879,-0.82
2063-12-31,8299349,-0.82
2064-12-31,8231119,-0.82
2065-12-31,8163274,-0.82
2066-12-31,8096022,-0.82
2067-12-31,8029584,-0.82
2068-12-31,7963887,-0.82
2069-12-31,7899234,-0.81
2070-12-31,7835959,-0.8
2071-12-31,7773954,-0.79
2072-12-31,7713320,-0.78
2073-12-31,7654239,-0.77
2074-12-31,7596645,-0.75
2075-12-31,7540448,-0.74
2076-12-31,7485785,-0.72
2077-12-31,7432715,-0.71
2078-12-31,7381135,-0.69
2079-12-31,7330861,-0.68
2080-12-31,7281893,-0.67
2081-12-31,7234143,-0.66
2082-12-31,7187333,-0.65
2083-12-31,7141290,-0.64
2084-12-31,7095967,-0.63
2085-12-31,7051248,-0.63
2086-12-31,7006901,-0.63
2087-12-31,6962777,-0.63
2088-12-31,6918759,-0.63
2089-12-31,6874766,-0.64
2090-12-31,6830644,-0.64
2091-12-31,6786377,-0.65
2092-12-31,6741943,-0.65
2093-12-31,6697153,-0.66
2094-12-31,6652011,-0.67
2095-12-31,6606713,-0.68
2096-12-31,6561368,-0.69
2097-12-31,6516002,-0.69
2098-12-31,6470736,-0.69
2099-12-31,6425640,-0.7
2100-12-31,6380722,-0.7
