Macrotrends Data Download

Latvia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1922525
1951-12-31,1944994,1.17
1952-12-31,1967171,1.14
1953-12-31,1988465,1.08
1954-12-31,2010069,1.09
1955-12-31,2032505,1.12
1956-12-31,2054640,1.09
1957-12-31,2077356,1.11
1958-12-31,2101583,1.17
1959-12-31,2127085,1.21
1960-12-31,2154251,1.28
1961-12-31,2182711,1.32
1962-12-31,2210147,1.26
1963-12-31,2236419,1.19
1964-12-31,2262860,1.18
1965-12-31,2287805,1.1
1966-12-31,2310940,1.01
1967-12-31,2333504,0.98
1968-12-31,2355479,0.94
1969-12-31,2376682,0.9
1970-12-31,2397414,0.87
1971-12-31,2418298,0.87
1972-12-31,2438485,0.83
1973-12-31,2457032,0.76
1974-12-31,2475079,0.73
1975-12-31,2492528,0.7
1976-12-31,2508850,0.65
1977-12-31,2524834,0.64
1978-12-31,2540588,0.62
1979-12-31,2556222,0.62
1980-12-31,2572037,0.62
1981-12-31,2588051,0.62
1982-12-31,2604945,0.65
1983-12-31,2623151,0.7
1984-12-31,2640608,0.67
1985-12-31,2655104,0.55
1986-12-31,2668867,0.52
1987-12-31,2681836,0.49
1988-12-31,2690470,0.32
1989-12-31,2693388,0.11
1990-12-31,2689391,-0.15
1991-12-31,2678964,-0.39
1992-12-31,2662883,-0.6
1993-12-31,2638889,-0.9
1994-12-31,2606454,-1.23
1995-12-31,2570151,-1.39
1996-12-31,2534287,-1.4
1997-12-31,2498879,-1.4
1998-12-31,2462337,-1.46
1999-12-31,2426351,-1.46
2000-12-31,2392530,-1.39
2001-12-31,2359249,-1.39
2002-12-31,2326144,-1.4
2003-12-31,2294342,-1.37
2004-12-31,2263443,-1.35
2005-12-31,2233157,-1.34
2006-12-31,2203913,-1.31
2007-12-31,2176053,-1.26
2008-12-31,2150412,-1.18
2009-12-31,2126265,-1.12
2010-12-31,2101530,-1.16
2011-12-31,2076974,-1.17
2012-12-31,2053636,-1.12
2013-12-31,2031486,-1.08
2014-12-31,2011039,-1.01
2015-12-31,1991955,-0.95
2016-12-31,1973476,-0.93
2017-12-31,1954862,-0.94
2018-12-31,1935630,-0.98
2019-12-31,1916555,-0.99
2020-12-31,1897052,-1.02
2021-12-31,1873919,-1.22
2022-12-31,1850651,-1.24
2023-12-31,1830211,-1.1
2024-12-31,1810240,-1.09
2025-12-31,1790796,-1.07
2026-12-31,1771916,-1.05
2027-12-31,1753619,-1.03
2028-12-31,1735806,-1.02
2029-12-31,1718386,-1
2030-12-31,1701338,-0.99
2031-12-31,1684648,-0.98
2032-12-31,1668342,-0.97
2033-12-31,1652459,-0.95
2034-12-31,1637036,-0.93
2035-12-31,1622114,-0.91
2036-12-31,1607720,-0.89
2037-12-31,1593821,-0.86
2038-12-31,1580292,-0.85
2039-12-31,1567064,-0.84
2040-12-31,1554125,-0.83
2041-12-31,1541431,-0.82
2042-12-31,1528957,-0.81
2043-12-31,1516659,-0.8
2044-12-31,1504527,-0.8
2045-12-31,1492555,-0.8
2046-12-31,1480684,-0.8
2047-12-31,1468878,-0.8
2048-12-31,1457134,-0.8
2049-12-31,1445434,-0.8
2050-12-31,1433728,-0.81
2051-12-31,1421993,-0.82
2052-12-31,1410223,-0.83
2053-12-31,1398399,-0.84
2054-12-31,1386525,-0.85
2055-12-31,1374619,-0.86
2056-12-31,1362687,-0.87
2057-12-31,1350718,-0.88
2058-12-31,1338745,-0.89
2059-12-31,1326806,-0.89
2060-12-31,1314902,-0.9
2061-12-31,1303061,-0.9
2062-12-31,1291319,-0.9
2063-12-31,1279699,-0.9
2064-12-31,1268224,-0.9
2065-12-31,1256872,-0.9
2066-12-31,1245656,-0.89
2067-12-31,1234622,-0.89
2068-12-31,1223766,-0.88
2069-12-31,1213101,-0.87
2070-12-31,1202648,-0.86
2071-12-31,1192388,-0.85
2072-12-31,1182334,-0.84
2073-12-31,1172479,-0.83
2074-12-31,1162830,-0.82
2075-12-31,1153401,-0.81
2076-12-31,1144132,-0.8
2077-12-31,1135013,-0.8
2078-12-31,1126042,-0.79
2079-12-31,1117239,-0.78
2080-12-31,1108619,-0.77
2081-12-31,1100130,-0.77
2082-12-31,1091764,-0.76
2083-12-31,1083553,-0.75
2084-12-31,1075520,-0.74
2085-12-31,1067626,-0.73
2086-12-31,1059859,-0.73
2087-12-31,1052190,-0.72
2088-12-31,1044597,-0.72
2089-12-31,1037057,-0.72
2090-12-31,1029565,-0.72
2091-12-31,1022140,-0.72
2092-12-31,1014739,-0.72
2093-12-31,1007327,-0.73
2094-12-31,999890,-0.74
2095-12-31,992410,-0.75
2096-12-31,984893,-0.76
2097-12-31,977312,-0.77
2098-12-31,969652,-0.78
2099-12-31,961939,-0.8
2100-12-31,954183,-0.81
