Macrotrends Data Download

Netherlands Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,10093554
1951-12-31,10226295,1.32
1952-12-31,10361805,1.33
1953-12-31,10497290,1.31
1954-12-31,10631383,1.28
1955-12-31,10767906,1.28
1956-12-31,10905345,1.28
1957-12-31,11046130,1.29
1958-12-31,11191752,1.32
1959-12-31,11341765,1.34
1960-12-31,11493117,1.33
1961-12-31,11647367,1.34
1962-12-31,11803458,1.34
1963-12-31,11958415,1.31
1964-12-31,12117829,1.33
1965-12-31,12275791,1.3
1966-12-31,12426787,1.23
1967-12-31,12576967,1.21
1968-12-31,12727200,1.19
1969-12-31,12881249,1.21
1970-12-31,13037686,1.21
1971-12-31,13186712,1.14
1972-12-31,13324176,1.04
1973-12-31,13447570,0.93
1974-12-31,13560532,0.84
1975-12-31,13663969,0.76
1976-12-31,13760112,0.7
1977-12-31,13855566,0.69
1978-12-31,13949408,0.68
1979-12-31,14040287,0.65
1980-12-31,14130387,0.64
1981-12-31,14217318,0.62
1982-12-31,14296533,0.56
1983-12-31,14369647,0.51
1984-12-31,14441927,0.5
1985-12-31,14515704,0.51
1986-12-31,14592531,0.53
1987-12-31,14675301,0.57
1988-12-31,14762318,0.59
1989-12-31,14850225,0.6
1990-12-31,14944548,0.64
1991-12-31,15046584,0.68
1992-12-31,15150685,0.69
1993-12-31,15251086,0.66
1994-12-31,15349478,0.65
1995-12-31,15446668,0.63
1996-12-31,15538616,0.6
1997-12-31,15629905,0.59
1998-12-31,15722594,0.59
1999-12-31,15812487,0.57
2000-12-31,15899135,0.55
2001-12-31,15981636,0.52
2002-12-31,16057040,0.47
2003-12-31,16127579,0.44
2004-12-31,16196035,0.42
2005-12-31,16261831,0.41
2006-12-31,16325677,0.39
2007-12-31,16391232,0.4
2008-12-31,16460770,0.42
2009-12-31,16536208,0.46
2010-12-31,16617117,0.49
2011-12-31,16701472,0.51
2012-12-31,16785299,0.5
2013-12-31,16867352,0.49
2014-12-31,16954081,0.51
2015-12-31,17041107,0.51
2016-12-31,17124505,0.49
2017-12-31,17207198,0.48
2018-12-31,17286042,0.46
2019-12-31,17363262,0.45
2020-12-31,17434557,0.41
2021-12-31,17501696,0.39
2022-12-31,17564014,0.36
2023-12-31,17618299,0.31
2024-12-31,17671125,0.3
2025-12-31,17722333,0.29
2026-12-31,17771604,0.28
2027-12-31,17818839,0.27
2028-12-31,17863750,0.25
2029-12-31,17905449,0.23
2030-12-31,17943803,0.21
2031-12-31,17978614,0.19
2032-12-31,18009471,0.17
2033-12-31,18036007,0.15
2034-12-31,18058190,0.12
2035-12-31,18075642,0.1
2036-12-31,18088257,0.07
2037-12-31,18096419,0.05
2038-12-31,18100104,0.02
2039-12-31,18100067,0
2040-12-31,18096392,-0.02
2041-12-31,18088839,-0.04
2042-12-31,18078167,-0.06
2043-12-31,18064333,-0.08
2044-12-31,18046977,-0.1
2045-12-31,18027049,-0.11
2046-12-31,18004933,-0.12
2047-12-31,17980469,-0.14
2048-12-31,17954107,-0.15
2049-12-31,17926277,-0.16
2050-12-31,17897025,-0.16
2051-12-31,17866601,-0.17
2052-12-31,17835289,-0.18
2053-12-31,17803714,-0.18
2054-12-31,17772584,-0.17
2055-12-31,17741957,-0.17
2056-12-31,17711921,-0.17
2057-12-31,17682686,-0.17
2058-12-31,17654373,-0.16
2059-12-31,17627111,-0.15
2060-12-31,17601170,-0.15
2061-12-31,17576645,-0.14
2062-12-31,17553786,-0.13
2063-12-31,17532397,-0.12
2064-12-31,17512496,-0.11
2065-12-31,17493977,-0.11
2066-12-31,17476308,-0.1
2067-12-31,17459711,-0.09
2068-12-31,17443959,-0.09
2069-12-31,17428919,-0.09
2070-12-31,17414156,-0.08
2071-12-31,17398982,-0.09
2072-12-31,17383313,-0.09
2073-12-31,17366745,-0.1
2074-12-31,17348899,-0.1
2075-12-31,17329570,-0.11
2076-12-31,17308827,-0.12
2077-12-31,17286234,-0.13
2078-12-31,17261514,-0.14
2079-12-31,17235024,-0.15
2080-12-31,17206930,-0.16
2081-12-31,17177342,-0.17
2082-12-31,17146148,-0.18
2083-12-31,17113753,-0.19
2084-12-31,17080412,-0.19
2085-12-31,17046047,-0.2
2086-12-31,17011304,-0.2
2087-12-31,16976766,-0.2
2088-12-31,16942513,-0.2
2089-12-31,16908481,-0.2
2090-12-31,16874746,-0.2
2091-12-31,16841305,-0.2
2092-12-31,16808112,-0.2
2093-12-31,16775775,-0.19
2094-12-31,16744432,-0.19
2095-12-31,16713871,-0.18
2096-12-31,16684661,-0.17
2097-12-31,16656768,-0.17
2098-12-31,16629867,-0.16
2099-12-31,16604378,-0.15
2100-12-31,16580142,-0.15
