Macrotrends Data Download

Portugal Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,8416952
1951-12-31,8472644,0.66
1952-12-31,8523684,0.6
1953-12-31,8573397,0.58
1954-12-31,8619174,0.53
1955-12-31,8665451,0.54
1956-12-31,8707083,0.48
1957-12-31,8748069,0.47
1958-12-31,8799094,0.58
1959-12-31,8849589,0.57
1960-12-31,8882469,0.37
1961-12-31,8896915,0.16
1962-12-31,8905437,0.1
1963-12-31,8907702,0.03
1964-12-31,8905558,-0.02
1965-12-31,8899092,-0.07
1966-12-31,8881847,-0.19
1967-12-31,8856641,-0.28
1968-12-31,8821528,-0.4
1969-12-31,8768151,-0.61
1970-12-31,8683631,-0.96
1971-12-31,8700519,0.19
1972-12-31,8833266,1.53
1973-12-31,8957960,1.41
1974-12-31,9079603,1.36
1975-12-31,9202709,1.36
1976-12-31,9330201,1.39
1977-12-31,9458997,1.38
1978-12-31,9578255,1.26
1979-12-31,9686178,1.13
1980-12-31,9785252,1.02
1981-12-31,9856752,0.73
1982-12-31,9904424,0.48
1983-12-31,9943821,0.4
1984-12-31,9974819,0.31
1985-12-31,9996896,0.22
1986-12-31,10011030,0.14
1987-12-31,10020203,0.09
1988-12-31,10023310,0.03
1989-12-31,10020315,-0.03
1990-12-31,10007346,-0.13
1991-12-31,9986415,-0.21
1992-12-31,9978744,-0.08
1993-12-31,9992103,0.13
1994-12-31,10018104,0.26
1995-12-31,10051248,0.33
1996-12-31,10087645,0.36
1997-12-31,10130549,0.43
1998-12-31,10179415,0.48
1999-12-31,10233369,0.53
2000-12-31,10300626,0.66
2001-12-31,10371819,0.69
2002-12-31,10430914,0.57
2003-12-31,10473344,0.41
2004-12-31,10501522,0.27
2005-12-31,10523315,0.21
2006-12-31,10543947,0.2
2007-12-31,10565551,0.2
2008-12-31,10580960,0.15
2009-12-31,10591343,0.1
2010-12-31,10588401,-0.03
2011-12-31,10564826,-0.22
2012-12-31,10522086,-0.4
2013-12-31,10464535,-0.55
2014-12-31,10408372,-0.54
2015-12-31,10365435,-0.41
2016-12-31,10332753,-0.32
2017-12-31,10307530,-0.24
2018-12-31,10289835,-0.17
2019-12-31,10289923,0
2020-12-31,10298192,0.08
2021-12-31,10290103,-0.08
2022-12-31,10270865,-0.19
2023-12-31,10247605,-0.23
2024-12-31,10223349,-0.24
2025-12-31,10198116,-0.25
2026-12-31,10172106,-0.26
2027-12-31,10145530,-0.26
2028-12-31,10118394,-0.27
2029-12-31,10090603,-0.27
2030-12-31,10062183,-0.28
2031-12-31,10033283,-0.29
2032-12-31,10003604,-0.3
2033-12-31,9973208,-0.3
2034-12-31,9942165,-0.31
2035-12-31,9910155,-0.32
2036-12-31,9876958,-0.33
2037-12-31,9842256,-0.35
2038-12-31,9806203,-0.37
2039-12-31,9768966,-0.38
2040-12-31,9730312,-0.4
2041-12-31,9690101,-0.41
2042-12-31,9648403,-0.43
2043-12-31,9605092,-0.45
2044-12-31,9560036,-0.47
2045-12-31,9513430,-0.49
2046-12-31,9465531,-0.5
2047-12-31,9416346,-0.52
2048-12-31,9365892,-0.54
2049-12-31,9314293,-0.55
2050-12-31,9261305,-0.57
2051-12-31,9207036,-0.59
2052-12-31,9151668,-0.6
2053-12-31,9095340,-0.62
2054-12-31,9038153,-0.63
2055-12-31,8980146,-0.64
2056-12-31,8921523,-0.65
2057-12-31,8862380,-0.66
2058-12-31,8802838,-0.67
2059-12-31,8742891,-0.68
2060-12-31,8682657,-0.69
2061-12-31,8622415,-0.69
2062-12-31,8562064,-0.7
2063-12-31,8501681,-0.71
2064-12-31,8441541,-0.71
2065-12-31,8381647,-0.71
2066-12-31,8322233,-0.71
2067-12-31,8263645,-0.7
2068-12-31,8205957,-0.7
2069-12-31,8149235,-0.69
2070-12-31,8093611,-0.68
2071-12-31,8039265,-0.67
2072-12-31,7986425,-0.66
2073-12-31,7935164,-0.64
2074-12-31,7885562,-0.63
2075-12-31,7837762,-0.61
2076-12-31,7791548,-0.59
2077-12-31,7746683,-0.58
2078-12-31,7703327,-0.56
2079-12-31,7661404,-0.54
2080-12-31,7620841,-0.53
2081-12-31,7581466,-0.52
2082-12-31,7542970,-0.51
2083-12-31,7505260,-0.5
2084-12-31,7468141,-0.49
2085-12-31,7431229,-0.49
2086-12-31,7394380,-0.5
2087-12-31,7357672,-0.5
2088-12-31,7320930,-0.5
2089-12-31,7284015,-0.5
2090-12-31,7246935,-0.51
2091-12-31,7209800,-0.51
2092-12-31,7172696,-0.51
2093-12-31,7135775,-0.51
2094-12-31,7098975,-0.52
2095-12-31,7062307,-0.52
2096-12-31,7025995,-0.51
2097-12-31,6990035,-0.51
2098-12-31,6954530,-0.51
2099-12-31,6919658,-0.5
2100-12-31,6885463,-0.49
