Macrotrends Data Download

Romania Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,16392971
1951-12-31,16612734,1.34
1952-12-31,16828585,1.3
1953-12-31,17041122,1.26
1954-12-31,17250994,1.23
1955-12-31,17455291,1.18
1956-12-31,17668031,1.22
1957-12-31,17884928,1.23
1958-12-31,18089945,1.15
1959-12-31,18282518,1.06
1960-12-31,18458008,0.96
1961-12-31,18622911,0.89
1962-12-31,18770327,0.79
1963-12-31,18895142,0.66
1964-12-31,19010052,0.61
1965-12-31,19117072,0.56
1966-12-31,19221483,0.55
1967-12-31,19348536,0.66
1968-12-31,19515298,0.86
1969-12-31,19711721,1.01
1970-12-31,19922618,1.07
1971-12-31,20145244,1.12
1972-12-31,20382169,1.18
1973-12-31,20628252,1.21
1974-12-31,20889661,1.27
1975-12-31,21167265,1.33
1976-12-31,21449635,1.33
1977-12-31,21678700,1.07
1978-12-31,21844026,0.76
1979-12-31,21993493,0.68
1980-12-31,22125224,0.6
1981-12-31,22237470,0.51
1982-12-31,22331065,0.42
1983-12-31,22403762,0.33
1984-12-31,22465037,0.27
1985-12-31,22525363,0.27
1986-12-31,22587322,0.28
1987-12-31,22653807,0.29
1988-12-31,22719093,0.29
1989-12-31,22788040,0.3
1990-12-31,22836234,0.21
1991-12-31,22842482,0.03
1992-12-31,22800963,-0.18
1993-12-31,22721656,-0.35
1994-12-31,22632776,-0.39
1995-12-31,22533134,-0.44
1996-12-31,22417869,-0.51
1997-12-31,22289535,-0.57
1998-12-31,22161242,-0.58
1999-12-31,22039007,-0.55
2000-12-31,21919876,-0.54
2001-12-31,21797590,-0.56
2002-12-31,21653532,-0.66
2003-12-31,21481320,-0.8
2004-12-31,21289286,-0.89
2005-12-31,21092264,-0.93
2006-12-31,20909401,-0.87
2007-12-31,20744230,-0.79
2008-12-31,20597508,-0.71
2009-12-31,20466318,-0.64
2010-12-31,20335211,-0.64
2011-12-31,20220285,-0.57
2012-12-31,20137118,-0.41
2013-12-31,20066546,-0.35
2014-12-31,19995836,-0.35
2015-12-31,19906079,-0.45
2016-12-31,19797820,-0.54
2017-12-31,19698853,-0.5
2018-12-31,19606783,-0.47
2019-12-31,19524211,-0.42
2020-12-31,19442038,-0.42
2021-12-31,19328560,-0.58
2022-12-31,19659267,1.71
2023-12-31,19892812,1.19
2024-12-31,19618996,-1.38
2025-12-31,19424322,-0.99
2026-12-31,19291945,-0.68
2027-12-31,19208482,-0.43
2028-12-31,19144537,-0.33
2029-12-31,19085238,-0.31
2030-12-31,19023383,-0.32
2031-12-31,18959017,-0.34
2032-12-31,18892250,-0.35
2033-12-31,18823372,-0.36
2034-12-31,18752783,-0.38
2035-12-31,18680470,-0.39
2036-12-31,18606572,-0.4
2037-12-31,18531225,-0.4
2038-12-31,18454237,-0.42
2039-12-31,18375560,-0.43
2040-12-31,18295603,-0.44
2041-12-31,18214523,-0.44
2042-12-31,18132423,-0.45
2043-12-31,18049550,-0.46
2044-12-31,17966025,-0.46
2045-12-31,17882022,-0.47
2046-12-31,17797514,-0.47
2047-12-31,17712699,-0.48
2048-12-31,17627677,-0.48
2049-12-31,17542502,-0.48
2050-12-31,17457213,-0.49
2051-12-31,17371613,-0.49
2052-12-31,17285538,-0.5
2053-12-31,17198605,-0.5
2054-12-31,17110533,-0.51
2055-12-31,17020831,-0.52
2056-12-31,16928728,-0.54
2057-12-31,16834038,-0.56
2058-12-31,16737121,-0.58
2059-12-31,16637911,-0.59
2060-12-31,16536378,-0.61
2061-12-31,16432944,-0.63
2062-12-31,16327810,-0.64
2063-12-31,16221489,-0.65
2064-12-31,16114514,-0.66
2065-12-31,16007279,-0.67
2066-12-31,15900325,-0.67
2067-12-31,15794047,-0.67
2068-12-31,15688825,-0.67
2069-12-31,15585182,-0.66
2070-12-31,15483266,-0.65
2071-12-31,15382747,-0.65
2072-12-31,15283710,-0.64
2073-12-31,15186397,-0.64
2074-12-31,15091066,-0.63
2075-12-31,14998034,-0.62
2076-12-31,14907137,-0.61
2077-12-31,14817960,-0.6
2078-12-31,14730373,-0.59
2079-12-31,14644584,-0.58
2080-12-31,14560803,-0.57
2081-12-31,14478763,-0.56
2082-12-31,14398553,-0.55
2083-12-31,14320054,-0.55
2084-12-31,14242845,-0.54
2085-12-31,14167084,-0.53
2086-12-31,14092969,-0.52
2087-12-31,14020175,-0.52
2088-12-31,13948215,-0.51
2089-12-31,13876861,-0.51
2090-12-31,13806070,-0.51
2091-12-31,13735693,-0.51
2092-12-31,13665399,-0.51
2093-12-31,13595279,-0.51
2094-12-31,13525441,-0.51
2095-12-31,13455669,-0.52
2096-12-31,13385831,-0.52
2097-12-31,13315808,-0.52
2098-12-31,13245556,-0.53
2099-12-31,13175373,-0.53
2100-12-31,13105206,-0.53
