Macrotrends Data Download

Russia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,102580107
1951-12-31,104151680,1.53
1952-12-31,105790045,1.57
1953-12-31,107493129,1.61
1954-12-31,109221068,1.61
1955-12-31,110971852,1.6
1956-12-31,112783329,1.63
1957-12-31,114590996,1.6
1958-12-31,116373652,1.56
1959-12-31,118076840,1.46
1960-12-31,119735095,1.4
1961-12-31,121408978,1.4
1962-12-31,122914605,1.24
1963-12-31,124227725,1.07
1964-12-31,125394235,0.94
1965-12-31,126400607,0.8
1966-12-31,127293948,0.71
1967-12-31,128111727,0.64
1968-12-31,128822373,0.55
1969-12-31,129489455,0.52
1970-12-31,130093010,0.47
1971-12-31,130719659,0.48
1972-12-31,131456435,0.56
1973-12-31,132191634,0.56
1974-12-31,132970443,0.59
1975-12-31,133841842,0.66
1976-12-31,134764462,0.69
1977-12-31,135712068,0.7
1978-12-31,136659133,0.7
1979-12-31,137510309,0.62
1980-12-31,138257420,0.54
1981-12-31,139002880,0.54
1982-12-31,139848005,0.61
1983-12-31,140854123,0.72
1984-12-31,141892552,0.74
1985-12-31,142896392,0.71
1986-12-31,144046482,0.8
1987-12-31,145312019,0.88
1988-12-31,146464378,0.79
1989-12-31,147341508,0.6
1990-12-31,148005704,0.45
1991-12-31,148455402,0.3
1992-12-31,148725601,0.18
1993-12-31,148897270,0.12
1994-12-31,148829113,-0.05
1995-12-31,148557451,-0.18
1996-12-31,148233411,-0.22
1997-12-31,147939972,-0.2
1998-12-31,147672728,-0.18
1999-12-31,147336388,-0.23
2000-12-31,146844839,-0.33
2001-12-31,146235530,-0.41
2002-12-31,145590136,-0.44
2003-12-31,144946723,-0.44
2004-12-31,144353636,-0.41
2005-12-31,143800049,-0.38
2006-12-31,143338669,-0.32
2007-12-31,143117693,-0.15
2008-12-31,143086549,-0.02
2009-12-31,143163643,0.05
2010-12-31,143242599,0.06
2011-12-31,143364543,0.09
2012-12-31,143629362,0.18
2013-12-31,143956866,0.23
2014-12-31,144285070,0.23
2015-12-31,144668389,0.27
2016-12-31,145109157,0.3
2017-12-31,145452536,0.24
2018-12-31,145652293,0.14
2019-12-31,145742286,0.06
2020-12-31,145617329,-0.09
2021-12-31,145102755,-0.35
2022-12-31,144713314,-0.27
2023-12-31,144444359,-0.19
2024-12-31,143957079,-0.34
2025-12-31,143494210,-0.32
2026-12-31,143065413,-0.3
2027-12-31,142662574,-0.28
2028-12-31,142263180,-0.28
2029-12-31,141854940,-0.29
2030-12-31,141432741,-0.3
2031-12-31,141000041,-0.31
2032-12-31,140559555,-0.31
2033-12-31,140115666,-0.32
2034-12-31,139670938,-0.32
2035-12-31,139227987,-0.32
2036-12-31,138790761,-0.31
2037-12-31,138360672,-0.31
2038-12-31,137938508,-0.31
2039-12-31,137521801,-0.3
2040-12-31,137110991,-0.3
2041-12-31,136709408,-0.29
2042-12-31,136317799,-0.29
2043-12-31,135935122,-0.28
2044-12-31,135554900,-0.28
2045-12-31,135171274,-0.28
2046-12-31,134783212,-0.29
2047-12-31,134390857,-0.29
2048-12-31,133988174,-0.3
2049-12-31,133568298,-0.31
2050-12-31,133133035,-0.33
2051-12-31,132680696,-0.34
2052-12-31,132208665,-0.36
2053-12-31,131720512,-0.37
2054-12-31,131217865,-0.38
2055-12-31,130700222,-0.39
2056-12-31,130169445,-0.41
2057-12-31,129627234,-0.42
2058-12-31,129076299,-0.43
2059-12-31,128519549,-0.43
2060-12-31,127957595,-0.44
2061-12-31,127393455,-0.44
2062-12-31,126828583,-0.44
2063-12-31,126266229,-0.44
2064-12-31,125708193,-0.44
2065-12-31,125152477,-0.44
2066-12-31,124601187,-0.44
2067-12-31,124056898,-0.44
2068-12-31,123525046,-0.43
2069-12-31,123004018,-0.42
2070-12-31,122489972,-0.42
2071-12-31,121987126,-0.41
2072-12-31,121497299,-0.4
2073-12-31,121020281,-0.39
2074-12-31,120554337,-0.39
2075-12-31,120100789,-0.38
2076-12-31,119660728,-0.37
2077-12-31,119232643,-0.36
2078-12-31,118818000,-0.35
2079-12-31,118417124,-0.34
2080-12-31,118030379,-0.33
2081-12-31,117656213,-0.32
2082-12-31,117292124,-0.31
2083-12-31,116940031,-0.3
2084-12-31,116601011,-0.29
2085-12-31,116274231,-0.28
2086-12-31,115958095,-0.27
2087-12-31,115652642,-0.26
2088-12-31,115356684,-0.26
2089-12-31,115068352,-0.25
2090-12-31,114785573,-0.25
2091-12-31,114508299,-0.24
2092-12-31,114237495,-0.24
2093-12-31,113969018,-0.24
2094-12-31,113699861,-0.24
2095-12-31,113429989,-0.24
2096-12-31,113158372,-0.24
2097-12-31,112885713,-0.24
2098-12-31,112612788,-0.24
2099-12-31,112339929,-0.24
2100-12-31,112068747,-0.24
