Macrotrends Data Download

Slovenia Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,1445033
1951-12-31,1458637,0.94
1952-12-31,1472894,0.98
1953-12-31,1488604,1.07
1954-12-31,1505245,1.12
1955-12-31,1521772,1.1
1956-12-31,1538081,1.07
1957-12-31,1554148,1.04
1958-12-31,1569730,1
1959-12-31,1584908,0.97
1960-12-31,1599571,0.93
1961-12-31,1613624,0.88
1962-12-31,1627384,0.85
1963-12-31,1641161,0.85
1964-12-31,1655107,0.85
1965-12-31,1669453,0.87
1966-12-31,1684505,0.9
1967-12-31,1699820,0.91
1968-12-31,1714458,0.86
1969-12-31,1728167,0.8
1970-12-31,1741286,0.76
1971-12-31,1754881,0.78
1972-12-31,1769709,0.84
1973-12-31,1785222,0.88
1974-12-31,1800974,0.88
1975-12-31,1817044,0.89
1976-12-31,1833543,0.91
1977-12-31,1850369,0.92
1978-12-31,1867379,0.92
1979-12-31,1884595,0.92
1980-12-31,1901570,0.9
1981-12-31,1916320,0.78
1982-12-31,1927956,0.61
1983-12-31,1937234,0.48
1984-12-31,1945141,0.41
1985-12-31,1952518,0.38
1986-12-31,1959550,0.36
1987-12-31,1966495,0.35
1988-12-31,1973494,0.36
1989-12-31,1980180,0.34
1990-12-31,1986024,0.3
1991-12-31,1989797,0.19
1992-12-31,1991340,0.08
1993-12-31,1991685,0.02
1994-12-31,1991449,-0.01
1995-12-31,1991106,-0.02
1996-12-31,1990667,-0.02
1997-12-31,1989828,-0.04
1998-12-31,1988279,-0.08
1999-12-31,1986261,-0.1
2000-12-31,1984339,-0.1
2001-12-31,1982487,-0.09
2002-12-31,1983767,0.06
2003-12-31,1989411,0.28
2004-12-31,1996722,0.37
2005-12-31,2004778,0.4
2006-12-31,2013570,0.44
2007-12-31,2023229,0.48
2008-12-31,2034033,0.53
2009-12-31,2045578,0.57
2010-12-31,2057287,0.57
2011-12-31,2065453,0.4
2012-12-31,2069354,0.19
2013-12-31,2072374,0.15
2014-12-31,2074917,0.12
2015-12-31,2080862,0.29
2016-12-31,2090020,0.44
2017-12-31,2098392,0.4
2018-12-31,2105924,0.36
2019-12-31,2112901,0.33
2020-12-31,2117641,0.22
2021-12-31,2119410,0.08
2022-12-31,2119844,0.02
2023-12-31,2119675,-0.01
2024-12-31,2118965,-0.03
2025-12-31,2117762,-0.06
2026-12-31,2116129,-0.08
2027-12-31,2114109,-0.1
2028-12-31,2111727,-0.11
2029-12-31,2108994,-0.13
2030-12-31,2105945,-0.14
2031-12-31,2102637,-0.16
2032-12-31,2099124,-0.17
2033-12-31,2095434,-0.18
2034-12-31,2091539,-0.19
2035-12-31,2087470,-0.19
2036-12-31,2083249,-0.2
2037-12-31,2078881,-0.21
2038-12-31,2074358,-0.22
2039-12-31,2069646,-0.23
2040-12-31,2064752,-0.24
2041-12-31,2059689,-0.25
2042-12-31,2054419,-0.26
2043-12-31,2048934,-0.27
2044-12-31,2043204,-0.28
2045-12-31,2037161,-0.3
2046-12-31,2030851,-0.31
2047-12-31,2024309,-0.32
2048-12-31,2017553,-0.33
2049-12-31,2010553,-0.35
2050-12-31,2003258,-0.36
2051-12-31,1995712,-0.38
2052-12-31,1987935,-0.39
2053-12-31,1979940,-0.4
2054-12-31,1971777,-0.41
2055-12-31,1963439,-0.42
2056-12-31,1954909,-0.43
2057-12-31,1946224,-0.44
2058-12-31,1937425,-0.45
2059-12-31,1928528,-0.46
2060-12-31,1919563,-0.46
2061-12-31,1910561,-0.47
2062-12-31,1901541,-0.47
2063-12-31,1892530,-0.47
2064-12-31,1883531,-0.48
2065-12-31,1874565,-0.48
2066-12-31,1865697,-0.47
2067-12-31,1856949,-0.47
2068-12-31,1848286,-0.47
2069-12-31,1839721,-0.46
2070-12-31,1831303,-0.46
2071-12-31,1823072,-0.45
2072-12-31,1815010,-0.44
2073-12-31,1807114,-0.44
2074-12-31,1799426,-0.43
2075-12-31,1791939,-0.42
2076-12-31,1784633,-0.41
2077-12-31,1777547,-0.4
2078-12-31,1770713,-0.38
2079-12-31,1764133,-0.37
2080-12-31,1757799,-0.36
2081-12-31,1751659,-0.35
2082-12-31,1745725,-0.34
2083-12-31,1740022,-0.33
2084-12-31,1734543,-0.31
2085-12-31,1729269,-0.3
2086-12-31,1724181,-0.29
2087-12-31,1719276,-0.28
2088-12-31,1714545,-0.28
2089-12-31,1709955,-0.27
2090-12-31,1705495,-0.26
2091-12-31,1701183,-0.25
2092-12-31,1697009,-0.25
2093-12-31,1692940,-0.24
2094-12-31,1688972,-0.23
2095-12-31,1685067,-0.23
2096-12-31,1681196,-0.23
2097-12-31,1677387,-0.23
2098-12-31,1673607,-0.23
2099-12-31,1669841,-0.23
2100-12-31,1666113,-0.22
