Macrotrends Data Download

Sweden Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,7014610
1951-12-31,7068426,0.77
1952-12-31,7119452,0.72
1953-12-31,7169975,0.71
1954-12-31,7217595,0.66
1955-12-31,7264351,0.65
1956-12-31,7312105,0.66
1957-12-31,7358120,0.63
1958-12-31,7403292,0.61
1959-12-31,7449323,0.62
1960-12-31,7492895,0.58
1961-12-31,7536310,0.58
1962-12-31,7582635,0.61
1963-12-31,7632931,0.66
1964-12-31,7691823,0.77
1965-12-31,7755752,0.83
1966-12-31,7819971,0.83
1967-12-31,7882644,0.8
1968-12-31,7937776,0.7
1969-12-31,7983535,0.58
1970-12-31,8027702,0.55
1971-12-31,8073819,0.57
1972-12-31,8117716,0.54
1973-12-31,8156939,0.48
1974-12-31,8193154,0.44
1975-12-31,8224408,0.38
1976-12-31,8246995,0.27
1977-12-31,8265242,0.22
1978-12-31,8281299,0.19
1979-12-31,8296033,0.18
1980-12-31,8311763,0.19
1981-12-31,8326687,0.18
1982-12-31,8340723,0.17
1983-12-31,8355107,0.17
1984-12-31,8371290,0.19
1985-12-31,8389913,0.22
1986-12-31,8411791,0.26
1987-12-31,8437994,0.31
1988-12-31,8468137,0.36
1989-12-31,8504982,0.44
1990-12-31,8548406,0.51
1991-12-31,8594171,0.54
1992-12-31,8640272,0.54
1993-12-31,8683405,0.5
1994-12-31,8723460,0.46
1995-12-31,8758496,0.4
1996-12-31,8785494,0.31
1997-12-31,8807869,0.25
1998-12-31,8828633,0.24
1999-12-31,8848876,0.23
2000-12-31,8871043,0.25
2001-12-31,8896748,0.29
2002-12-31,8926012,0.33
2003-12-31,8961506,0.4
2004-12-31,9004263,0.48
2005-12-31,9051738,0.53
2006-12-31,9104719,0.59
2007-12-31,9164272,0.65
2008-12-31,9229271,0.71
2009-12-31,9301413,0.78
2010-12-31,9381729,0.86
2011-12-31,9467388,0.91
2012-12-31,9555987,0.94
2013-12-31,9648932,0.97
2014-12-31,9747508,1.02
2015-12-31,9849349,1.04
2016-12-31,9953317,1.06
2017-12-31,10058190,1.05
2018-12-31,10162298,1.04
2019-12-31,10267922,1.04
2020-12-31,10368969,0.98
2021-12-31,10467097,0.95
2022-12-31,10549347,0.79
2023-12-31,10612086,0.59
2024-12-31,10673669,0.58
2025-12-31,10733867,0.56
2026-12-31,10792212,0.54
2027-12-31,10848755,0.52
2028-12-31,10903539,0.5
2029-12-31,10956367,0.48
2030-12-31,11007228,0.46
2031-12-31,11056111,0.44
2032-12-31,11103547,0.43
2033-12-31,11149630,0.42
2034-12-31,11194469,0.4
2035-12-31,11238752,0.4
2036-12-31,11282736,0.39
2037-12-31,11326611,0.39
2038-12-31,11370307,0.39
2039-12-31,11414013,0.38
2040-12-31,11458122,0.39
2041-12-31,11502693,0.39
2042-12-31,11547531,0.39
2043-12-31,11592573,0.39
2044-12-31,11637925,0.39
2045-12-31,11683489,0.39
2046-12-31,11728859,0.39
2047-12-31,11773615,0.38
2048-12-31,11817527,0.37
2049-12-31,11860397,0.36
2050-12-31,11902033,0.35
2051-12-31,11942618,0.34
2052-12-31,11982219,0.33
2053-12-31,12020563,0.32
2054-12-31,12057661,0.31
2055-12-31,12093388,0.3
2056-12-31,12127603,0.28
2057-12-31,12160601,0.27
2058-12-31,12192506,0.26
2059-12-31,12223227,0.25
2060-12-31,12253033,0.24
2061-12-31,12282431,0.24
2062-12-31,12311632,0.24
2063-12-31,12340594,0.24
2064-12-31,12369453,0.23
2065-12-31,12398208,0.23
2066-12-31,12426976,0.23
2067-12-31,12456031,0.23
2068-12-31,12485166,0.23
2069-12-31,12514369,0.23
2070-12-31,12543629,0.23
2071-12-31,12572682,0.23
2072-12-31,12601638,0.23
2073-12-31,12630757,0.23
2074-12-31,12659711,0.23
2075-12-31,12688014,0.22
2076-12-31,12715476,0.22
2077-12-31,12741899,0.21
2078-12-31,12766977,0.2
2079-12-31,12790765,0.19
2080-12-31,12813237,0.18
2081-12-31,12834118,0.16
2082-12-31,12853704,0.15
2083-12-31,12872296,0.14
2084-12-31,12890061,0.14
2085-12-31,12907145,0.13
2086-12-31,12923783,0.13
2087-12-31,12940201,0.13
2088-12-31,12956813,0.13
2089-12-31,12973895,0.13
2090-12-31,12991509,0.14
2091-12-31,13009683,0.14
2092-12-31,13028551,0.15
2093-12-31,13048267,0.15
2094-12-31,13068531,0.16
2095-12-31,13088941,0.16
2096-12-31,13109151,0.15
2097-12-31,13129059,0.15
2098-12-31,13148861,0.15
2099-12-31,13168570,0.15
2100-12-31,13187841,0.15
