,date, GDP ( Billions of US $), Per Capita (US $), Annual % Change,Country
0,1984-12-31,1.8573380118549,639.4847,-1.2516,albania
1,1985-12-31,1.8970501334202,639.8659,1.7806,albania
2,1986-12-31,2.09732625,693.8735,5.6372,albania
3,1987-12-31,2.08079625,674.7934,-0.7878,albania
4,1988-12-31,2.05123625,652.7743,-1.42,albania
5,1989-12-31,2.25309,697.9956,9.8365,albania
6,1990-12-31,2.02855375,617.2304,-9.5756,albania
7,1991-12-31,1.0995590277778,336.587,-28.0021,albania
8,1992-12-31,0.6521749908373,200.8522,-7.1871,albania
9,1993-12-31,1.185315468463,367.2792,9.5594,albania
10,1994-12-31,1.8809515203972,586.4163,8.3029,albania
11,1995-12-31,2.3927648534211,750.6044,13.3223,albania
12,1996-12-31,3.1996413359375,1009.9773,9.1,albania
13,1997-12-31,2.2585139740968,717.38,-10.92,albania
14,1998-12-31,2.5459645408838,813.7894,8.8294,albania
15,1999-12-31,3.2121216509776,1033.2425,12.8908,albania
16,2000-12-31,3.4803552580412,1126.6833,6.9462,albania
17,2001-12-31,3.9221007935403,1281.6598,8.2933,albania
18,2002-12-31,4.3480682421951,1425.1242,4.5365,albania
19,2003-12-31,5.6114962571423,1846.1201,5.5286,albania
20,2004-12-31,7.1846857815188,2373.5813,5.5147,albania
21,2005-12-31,8.0520735393806,2673.7866,5.5264,albania
22,2006-12-31,8.8960729189814,2972.7429,5.9027,albania
23,2007-12-31,10.677324144429,3595.0381,5.9833,albania
24,2008-12-31,12.881353507854,4370.5399,7.5,albania
25,2009-12-31,12.044208085864,4114.1349,3.3543,albania
26,2010-12-31,11.926922828991,4094.3484,3.7069,albania
27,2011-12-31,12.890764531328,4437.1426,2.5454,albania
28,2012-12-31,12.319830437347,4247.63,1.4172,albania
29,2013-12-31,12.776220507016,4413.062,1.002,albania
30,2014-12-31,13.228147516117,4578.6332,1.7744,albania
31,2015-12-31,11.386850129841,3952.8025,2.2187,albania
32,2016-12-31,11.86119983084,4124.0554,3.315,albania
33,2017-12-31,13.019689336692,4531.0194,3.8022,albania
34,2018-12-31,15.156432309898,5287.6637,4.0194,albania
35,2019-12-31,15.401830754077,5396.2159,2.0881,albania
36,2020-12-31,15.131866270594,5332.1605,-3.4816,albania
37,2021-12-31,18.260043499807,6494.3857,8.5441,albania
38,5.7456,,,,albania
39,2.9486,,,,albania
40,1.1049,,,,albania
0,1970-12-31,0.0786192060851,3238.6903,,andorra
1,1971-12-31,0.0894098203593,3496.532,4.6495,andorra
2,1972-12-31,0.1134082319441,4218.2716,8.1497,andorra
3,1973-12-31,0.1508201027984,5342.1686,7.7885,andorra
4,1974-12-31,0.1865586962792,6320.8096,5.6188,andorra
5,1975-12-31,0.2201272463768,7169.101,0.5422,andorra
6,1976-12-31,0.2272810246207,7151.2499,3.3038,andorra
7,1977-12-31,0.2540201533406,7751.8433,2.8386,andorra
8,1978-12-31,0.3080088975694,9127.8123,1.463,andorra
9,1979-12-31,0.4115783341596,11818.4733,0.0416,andorra
10,1980-12-31,0.446416105825,12378.7845,2.2087,andorra
11,1981-12-31,0.3889587313029,10372.7861,-0.1325,andorra
12,1982-12-31,0.3758959563835,9610.0206,1.2465,andorra
13,1983-12-31,0.3278618329466,8025.2076,1.7701,andorra
14,1984-12-31,0.3300706892983,7728.9067,1.7847,andorra
15,1985-12-31,0.346737964775,7775.6142,2.3214,andorra
16,1986-12-31,0.4820005940359,10361.1478,3.2533,andorra
17,1987-12-31,0.6113163994071,12615.1262,5.5471,andorra
18,1988-12-31,0.7214259391516,14304.6406,5.0943,andorra
19,1989-12-31,0.7954493323963,15165.2813,4.827,andorra
20,1990-12-31,1.0290484818805,18878.8523,3.7814,andorra
21,1991-12-31,1.1069285828663,19534.2636,2.546,andorra
22,1992-12-31,1.2100136518771,20549.8056,0.9292,andorra
23,1993-12-31,1.0070257550007,16515.6584,-1.0315,andorra
24,1994-12-31,1.0175491243324,16235.068,2.3832,andorra
25,1995-12-31,1.178738991193,18458.174,2.7575,andorra
26,1996-12-31,1.2239453566268,19016.2882,4.6497,andorra
27,1997-12-31,1.1805972727273,18355.6279,9.0677,andorra
28,1998-12-31,1.2119323978171,18895.1107,3.1948,andorra
29,1999-12-31,1.2398763051353,19262.309,4.0991,andorra
30,2000-12-31,1.4290491984522,21854.2468,3.5284,andorra
31,2001-12-31,1.5469261744966,22970.5122,8.1194,andorra
32,2002-12-31,1.755910031997,25067.2401,4.5464,andorra
33,2003-12-31,2.3617268623025,32272.8459,8.6942,andorra
34,2004-12-31,2.8949217779985,37966.1873,8.1357,andorra
35,2005-12-31,3.1599054843925,40064.2249,5.3978,andorra
36,2006-12-31,3.456442102622,42674.759,4.8087,andorra
37,2007-12-31,3.9526006022447,47804.8499,1.5532,andorra
38,2008-12-31,4.0856305844441,48719.6588,-5.5592,andorra
39,2009-12-31,3.6744095582106,43504.2157,-5.3028,andorra
40,2010-12-31,3.4499257388607,40849.7613,-1.975,andorra
41,2011-12-31,3.6291335742778,43333.973,-0.0081,andorra
42,2012-12-31,3.1886527653618,38684.5665,-4.9744,andorra
43,2013-12-31,3.1935129500242,39538.3552,-3.5476,andorra
44,2014-12-31,3.2716855966632,41302.3821,2.5045,andorra
45,2015-12-31,2.7898812585036,35770.9187,1.4341,andorra
46,2016-12-31,2.8966104797308,37474.7458,3.7097,andorra
47,2017-12-31,3.0001620811198,38964.662,0.3461,andorra
48,2018-12-31,3.2184198969641,41793.3188,1.5888,andorra
49,2019-12-31,3.1551493478064,40898.4179,2.0155,andorra
50,2020-12-31,2.8910011493611,37416.6977,-11.1839,andorra
51,2021-12-31,3.3299107237608,43047.6863,8.9494,andorra
0,1960-12-31,6.592693841185,935.4604,,austria
1,1961-12-31,7.3117496333623,1031.815,5.538,austria
2,1962-12-31,7.7561102101197,1087.8342,2.6487,austria
3,1963-12-31,8.3741752577308,1167.0005,4.1383,austria
4,1964-12-31,9.1699838857119,1269.4126,6.1244,austria
5,1965-12-31,9.99407061586,1374.5321,3.4802,austria
6,1966-12-31,10.887682273101,1486.9686,5.6429,austria
7,1967-12-31,11.579431668917,1569.6672,3.008,austria
