,date, Per Capita (US $), % of GDP, ,Country
0,2000-12-31,80.617,7.2334,,albania
1,2001-12-31,89.5807,7.1395,,albania
2,2002-12-31,96.2711,6.9093,,albania
3,2003-12-31,125.988,7.0635,,albania
4,2004-12-31,156.5682,6.7734,,albania
5,2005-12-31,165.2654,6.3355,,albania
6,2006-12-31,174.5302,6.0093,,albania
7,2007-12-31,222.3037,6.3168,,albania
8,2008-12-31,220.4642,5.1391,,albania
9,2009-12-31,186.4428,4.6022,,albania
10,2010-12-31,192.0032,4.7458,,albania
11,2011-12-31,211.0755,4.7953,,albania
12,2012-12-31,213.7197,5.0553,,albania
13,2013-12-31,236.958,5.3856,,albania
14,2014-12-31,251.3583,5.5035,,albania
15,2015-12-31,192.8851,4.8963,,albania
16,2016-12-31,202.0133,4.916,,albania
17,2017-12-31,226.2807,5.0126,,albania
18,2018-12-31,274.9141,5.2321,,albania
0,2000-12-31,1302.6207,5.9605,,andorra
1,2001-12-31,1347.485,5.8659,,andorra
2,2002-12-31,1528.7506,6.0984,,andorra
3,2003-12-31,1820.0419,5.6399,,andorra
4,2004-12-31,2043.3022,5.3813,,andorra
5,2005-12-31,2299.7036,5.7399,,andorra
6,2006-12-31,2161.2053,5.0645,,andorra
7,2007-12-31,2403.5991,5.0283,,andorra
8,2008-12-31,2818.8047,5.7857,,andorra
9,2009-12-31,2714.2498,6.2396,,andorra
10,2010-12-31,2685.4797,6.5801,,andorra
11,2011-12-31,2634.0327,6.0863,,andorra
12,2012-12-31,2370.0571,6.1263,,andorra
13,2013-12-31,2432.7827,6.155,,andorra
14,2014-12-31,2529.0898,6.1315,,andorra
15,2015-12-31,2246.2544,6.2835,,andorra
16,2016-12-31,2361.2175,6.3053,,andorra
17,2017-12-31,2567.4238,6.5895,,andorra
18,2018-12-31,2821.8013,6.7516,,andorra
19,2019-12-31,2744.1943,6.7116,,andorra
0,2000-12-31,2269.1265,9.2037,,austria
1,2001-12-31,2282.5159,9.2694,,austria
2,2002-12-31,2497.866,9.3948,,austria
3,2003-12-31,3091.2402,9.5472,,austria
4,2004-12-31,3594.6504,9.7094,,austria
5,2005-12-31,3710.3979,9.627,,austria
6,2006-12-31,3882.9819,9.5311,,austria
7,2007-12-31,4478.7686,9.5321,,austria
8,2008-12-31,5057.7607,9.7256,,austria
9,2009-12-31,4928.9878,10.2258,,austria
10,2010-12-31,4800.7935,10.221,,austria
11,2011-12-31,5167.8179,10.0261,,austria
12,2012-12-31,4966.0957,10.1992,,austria
13,2013-12-31,5235.3413,10.2857,,austria
14,2014-12-31,5393.6021,10.3681,,austria
15,2015-12-31,4612.8242,10.3675,,austria
16,2016-12-31,4709.876,10.3523,,austria
17,2017-12-31,4938.9199,10.3846,,austria
18,2018-12-31,5322.2627,10.3175,,austria
19,2019-12-31,5242.1831,10.434,,austria
0,2000-12-31,57.6682,5.2761,,belarus
1,2001-12-31,74.3364,5.7083,,belarus
2,2002-12-31,87.084,5.6233,,belarus
3,2003-12-31,109.8769,5.7698,,belarus
4,2004-12-31,142.748,5.7371,,belarus
5,2005-12-31,198.3074,6.0704,,belarus
6,2006-12-31,223.8312,5.5738,,belarus
7,2007-12-31,281.0776,5.692,,belarus
8,2008-12-31,351.728,5.2942,,belarus
9,2009-12-31,290.7015,5.3904,,belarus
10,2010-12-31,343.6791,5.6569,,belarus
11,2011-12-31,319.7537,4.8744,,belarus
12,2012-12-31,365.8749,5.2453,,belarus
13,2013-12-31,456.4917,5.6956,,belarus
14,2014-12-31,450.2226,5.3879,,belarus
15,2015-12-31,362.7528,6.0653,,belarus
16,2016-12-31,298.6266,5.9105,,belarus
17,2017-12-31,333.5411,5.7597,,belarus
18,2018-12-31,351.0068,5.527,,belarus
19,2019-12-31,399.3971,5.8613,,belarus
0,2000-12-31,1849.916,7.9992,,belgium
1,2001-12-31,1879.9348,8.1499,,belgium
2,2002-12-31,2084.72,8.3182,,belgium
3,2003-12-31,2828.3335,9.2082,,belgium
4,2004-12-31,3326.6372,9.3672,,belgium
5,2005-12-31,3419.6931,9.2611,,belgium
6,2006-12-31,3558.1213,9.161,,belgium
7,2007-12-31,4078.147,9.1661,,belgium
8,2008-12-31,4670.4229,9.63,,belgium
9,2009-12-31,4653.4365,10.3546,,belgium
10,2010-12-31,4544.7798,10.2332,,belgium
11,2011-12-31,4943.7969,10.3921,,belgium
12,2012-12-31,4706.4702,10.5065,,belgium
13,2013-12-31,4947.7695,10.5613,,belgium
14,2014-12-31,5072.9507,10.5941,,belgium
15,2015-12-31,4291.4897,10.4307,,belgium
16,2016-12-31,4534.23,10.7732,,belgium
17,2017-12-31,4775.8125,10.7831,,belgium
18,2018-12-31,5134.4146,10.7647,,belgium
19,2019-12-31,4960.3936,10.656,,belgium
0,2000-12-31,94.4975,5.8297,,bulgaria
1,2001-12-31,119.83,6.8596,,bulgaria
2,2002-12-31,148.1479,7.081,,bulgaria
3,2003-12-31,195.7437,7.1999,,bulgaria
